time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-30 00:00:00+00:00,0,0,2,1
2021-07-06 00:00:00+00:00,1,1,0,0
2021-07-08 00:00:00+00:00,2,1,0,0
2021-07-12 00:00:00+00:00,0,0,12,1
2021-07-13 00:00:00+00:00,1,1,0,0
2021-08-07 00:00:00+00:00,1,1,0,0
2021-08-11 00:00:00+00:00,0,0,1,1
2021-08-16 00:00:00+00:00,0,0,1,1
2021-08-19 00:00:00+00:00,0,0,1,1
2021-08-23 00:00:00+00:00,0,0,1,1
2021-08-28 00:00:00+00:00,1,1,0,0
2021-09-04 00:00:00+00:00,1,1,0,0
2021-09-18 00:00:00+00:00,1,1,0,0
2021-10-01 00:00:00+00:00,0,0,5,2
2021-10-05 00:00:00+00:00,0,0,1,1
2021-10-06 00:00:00+00:00,1,1,5,1
2021-10-15 00:00:00+00:00,0,0,1,1
2021-10-18 00:00:00+00:00,0,0,1,1
2021-10-21 00:00:00+00:00,2,1,0,0
