time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-04 00:00:00+00:00,1.0,1.0,1,1
2022-03-05 00:00:00+00:00,,,2,1
2022-03-06 00:00:00+00:00,1.0,1.0,6,1
2022-03-07 00:00:00+00:00,,,5,1
2022-03-08 00:00:00+00:00,,,10,2
2022-03-09 00:00:00+00:00,,,7,1
2022-03-10 00:00:00+00:00,,,3,1
2022-03-11 00:00:00+00:00,,,7,1
2022-03-12 00:00:00+00:00,,,2,2
2022-03-13 00:00:00+00:00,1.0,1.0,4,1
2022-03-14 00:00:00+00:00,,,2,1
2022-03-15 00:00:00+00:00,,,4,1
2022-03-16 00:00:00+00:00,,,2,1
