time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-30 00:00:00+00:00,0,0,1,1
2021-07-06 00:00:00+00:00,1,1,0,0
2021-07-08 00:00:00+00:00,2,1,0,0
2021-07-22 00:00:00+00:00,0,0,5,1
2021-07-29 00:00:00+00:00,0,0,7,2
2021-08-07 00:00:00+00:00,1,1,0,0
2021-08-08 00:00:00+00:00,0,0,1,1
2021-08-16 00:00:00+00:00,0,0,3,2
2021-08-17 00:00:00+00:00,0,0,5,2
2021-08-20 00:00:00+00:00,0,0,3,2
2021-09-04 00:00:00+00:00,1,1,0,0
2021-09-08 00:00:00+00:00,1,1,2,1
2021-09-15 00:00:00+00:00,0,0,1,1
2021-09-27 00:00:00+00:00,0,0,1,1
2021-10-13 00:00:00+00:00,0,0,2,1
2021-10-21 00:00:00+00:00,2,1,0,0
2021-10-23 00:00:00+00:00,18,2,0,0
2021-10-24 00:00:00+00:00,23,2,0,0
2021-10-25 00:00:00+00:00,66,9,0,0
2021-11-01 00:00:00+00:00,0,0,1,1
2021-11-11 00:00:00+00:00,1,1,0,0
2021-11-17 00:00:00+00:00,0,0,1,1
2021-11-23 00:00:00+00:00,0,0,1,1
2021-11-25 00:00:00+00:00,1,1,0,0
2021-12-28 00:00:00+00:00,0,0,2,1
2022-01-20 00:00:00+00:00,0,0,1,1
2022-01-25 00:00:00+00:00,1,1,1,1
2022-01-29 00:00:00+00:00,0,0,3,1
2022-02-04 00:00:00+00:00,0,0,4,1
2022-02-07 00:00:00+00:00,1,1,0,0
2022-02-10 00:00:00+00:00,0,0,4,1
2022-02-11 00:00:00+00:00,0,0,1,1
2022-02-23 00:00:00+00:00,1,1,1,1
2022-02-24 00:00:00+00:00,0,0,3,1
2022-02-28 00:00:00+00:00,0,0,2,2
2022-03-03 00:00:00+00:00,0,0,1,1
2022-03-04 00:00:00+00:00,1,1,0,0
2022-03-12 00:00:00+00:00,0,0,2,1
2022-03-15 00:00:00+00:00,0,0,1,1
2022-03-24 00:00:00+00:00,0,0,1,1
2022-03-30 00:00:00+00:00,0,0,1,1
2022-04-05 00:00:00+00:00,0,0,1,1
2022-04-07 00:00:00+00:00,1,1,0,0
2022-04-10 00:00:00+00:00,0,0,1,1
2022-04-12 00:00:00+00:00,0,0,1,1
2022-04-13 00:00:00+00:00,0,0,2,1
2022-04-28 00:00:00+00:00,0,0,1,1
2022-04-29 00:00:00+00:00,2,1,0,0
2022-05-18 00:00:00+00:00,0,0,2,1
2022-05-19 00:00:00+00:00,0,0,1,1
2022-05-23 00:00:00+00:00,0,0,1,1
2022-06-06 00:00:00+00:00,0,0,1,1
2022-06-14 00:00:00+00:00,0,0,3,1
2022-06-21 00:00:00+00:00,2,1,0,0
2022-06-22 00:00:00+00:00,0,0,2,2
