time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-25 00:00:00+00:00,,,2,2
2025-01-26 00:00:00+00:00,2.0,2.0,3,3
2025-01-27 00:00:00+00:00,,,35,11
2025-01-28 00:00:00+00:00,1.0,1.0,23,8
2025-01-29 00:00:00+00:00,,,17,6
2025-01-30 00:00:00+00:00,1.0,1.0,26,10
2025-01-31 00:00:00+00:00,,,12,3
2025-02-01 00:00:00+00:00,1.0,1.0,1,1
2025-02-02 00:00:00+00:00,,,21,4
2025-02-03 00:00:00+00:00,2.0,2.0,17,9
2025-02-04 00:00:00+00:00,,,59,18
2025-02-05 00:00:00+00:00,1.0,1.0,23,10
2025-02-06 00:00:00+00:00,2.0,1.0,36,10
2025-02-07 00:00:00+00:00,6.0,3.0,36,9
