time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-14 00:00:00+00:00,,,12,2
2025-09-15 00:00:00+00:00,,,7,5
2025-09-16 00:00:00+00:00,4.0,4.0,6,5
2025-09-17 00:00:00+00:00,2.0,2.0,11,4
2025-09-18 00:00:00+00:00,1.0,1.0,8,6
2025-09-19 00:00:00+00:00,,,12,2
2025-09-20 00:00:00+00:00,1.0,1.0,2,1
2025-09-21 00:00:00+00:00,,,77,2
2025-09-22 00:00:00+00:00,,,5,5
2025-09-23 00:00:00+00:00,,,5,4
2025-09-24 00:00:00+00:00,,,30,5
2025-09-25 00:00:00+00:00,1.0,1.0,50,4
2025-09-26 00:00:00+00:00,1.0,1.0,11,7
