time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-20 00:00:00+00:00,0,0,37,2
2024-11-21 00:00:00+00:00,0,0,59,7
2024-11-22 00:00:00+00:00,0,0,12,3
2024-11-23 00:00:00+00:00,0,0,2,2
2024-11-24 00:00:00+00:00,0,0,3,2
2024-11-25 00:00:00+00:00,0,0,17,7
2024-11-26 00:00:00+00:00,0,0,33,3
2024-11-27 00:00:00+00:00,0,0,104,4
2024-11-28 00:00:00+00:00,0,0,26,4
2024-11-29 00:00:00+00:00,0,0,22,2
2024-11-30 00:00:00+00:00,0,0,4,3
2024-12-01 00:00:00+00:00,0,0,1,1
2024-12-02 00:00:00+00:00,0,0,26,5
2024-12-03 00:00:00+00:00,0,0,47,7
2024-12-04 00:00:00+00:00,3,3,52,13
2024-12-05 00:00:00+00:00,0,0,10,6
2024-12-06 00:00:00+00:00,0,0,31,5
2024-12-07 00:00:00+00:00,0,0,15,2
2024-12-08 00:00:00+00:00,0,0,1,1
2024-12-09 00:00:00+00:00,0,0,54,7
2024-12-10 00:00:00+00:00,0,0,25,5
2024-12-11 00:00:00+00:00,4,2,34,5
2024-12-12 00:00:00+00:00,3,1,23,8
2024-12-13 00:00:00+00:00,0,0,10,2
2024-12-14 00:00:00+00:00,0,0,24,3
2024-12-15 00:00:00+00:00,0,0,2,1
2024-12-16 00:00:00+00:00,0,0,5,5
2024-12-17 00:00:00+00:00,1,1,47,8
2024-12-18 00:00:00+00:00,0,0,1,1
2024-12-19 00:00:00+00:00,0,0,22,1
2024-12-20 00:00:00+00:00,0,0,31,1
2024-12-21 00:00:00+00:00,1,1,8,1
2024-12-22 00:00:00+00:00,0,0,16,1
2024-12-23 00:00:00+00:00,0,0,2,2
2024-12-24 00:00:00+00:00,0,0,6,3
2024-12-25 00:00:00+00:00,0,0,1,1
2024-12-26 00:00:00+00:00,0,0,9,1
2024-12-31 00:00:00+00:00,0,0,3,1
2025-01-02 00:00:00+00:00,0,0,29,3
2025-01-03 00:00:00+00:00,0,0,5,1
