time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-01 00:00:00+00:00,0,0,1,1
2023-03-02 00:00:00+00:00,2,1,1,1
2023-03-03 00:00:00+00:00,0,0,2,1
2023-03-04 00:00:00+00:00,0,0,1,1
2023-03-05 00:00:00+00:00,0,0,1,1
2023-03-06 00:00:00+00:00,1,1,0,0
2023-03-07 00:00:00+00:00,1,1,6,2
2023-03-08 00:00:00+00:00,1,1,4,4
2023-03-10 00:00:00+00:00,1,1,1,1
2023-03-12 00:00:00+00:00,1,1,0,0
2023-03-13 00:00:00+00:00,1,1,6,2
2023-03-16 00:00:00+00:00,0,0,1,1
2023-03-17 00:00:00+00:00,0,0,1,1
2023-03-18 00:00:00+00:00,0,0,1,1
2023-03-19 00:00:00+00:00,0,0,3,1
2023-03-20 00:00:00+00:00,1,1,4,2
2023-03-21 00:00:00+00:00,0,0,1,1
2023-03-22 00:00:00+00:00,0,0,2,2
2023-03-24 00:00:00+00:00,0,0,1,1
2023-03-25 00:00:00+00:00,0,0,1,1
2023-03-27 00:00:00+00:00,2,2,3,1
2023-03-29 00:00:00+00:00,0,0,5,1
2023-03-31 00:00:00+00:00,0,0,1,1
2023-04-01 00:00:00+00:00,0,0,2,1
2023-04-02 00:00:00+00:00,0,0,1,1
