time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-29 00:00:00+00:00,0,0,6,1
2021-07-08 00:00:00+00:00,2,1,0,0
2021-07-21 00:00:00+00:00,0,0,3,3
2021-07-23 00:00:00+00:00,1,1,0,0
2021-07-26 00:00:00+00:00,0,0,1,1
2021-08-06 00:00:00+00:00,0,0,4,1
2021-08-07 00:00:00+00:00,1,1,0,0
2021-08-08 00:00:00+00:00,0,0,1,1
2021-08-09 00:00:00+00:00,1,1,1,1
2021-08-16 00:00:00+00:00,1,1,2,2
2021-08-20 00:00:00+00:00,0,0,1,1
2021-08-26 00:00:00+00:00,0,0,1,1
2021-08-31 00:00:00+00:00,0,0,1,1
2021-09-03 00:00:00+00:00,1,1,0,0
2021-09-04 00:00:00+00:00,0,0,1,1
2021-09-16 00:00:00+00:00,0,0,1,1
2021-09-21 00:00:00+00:00,0,0,1,1
2021-10-13 00:00:00+00:00,0,0,1,1
2021-10-14 00:00:00+00:00,0,0,1,1
2021-10-21 00:00:00+00:00,4,1,0,0
2021-10-23 00:00:00+00:00,1,1,0,0
2021-10-26 00:00:00+00:00,2,1,0,0
2021-10-29 00:00:00+00:00,1,1,0,0
2021-12-01 00:00:00+00:00,0,0,1,1
2021-12-05 00:00:00+00:00,0,0,1,1
2021-12-07 00:00:00+00:00,0,0,1,1
2021-12-24 00:00:00+00:00,0,0,1,1
2022-01-11 00:00:00+00:00,0,0,1,1
2022-01-12 00:00:00+00:00,0,0,1,1
2022-01-14 00:00:00+00:00,0,0,1,1
2022-01-25 00:00:00+00:00,1,1,0,0
2022-02-13 00:00:00+00:00,0,0,1,1
2022-02-16 00:00:00+00:00,0,0,1,1
2022-03-02 00:00:00+00:00,0,0,2,1
2022-03-10 00:00:00+00:00,0,0,1,1
2022-03-14 00:00:00+00:00,0,0,1,1
2022-03-17 00:00:00+00:00,1,1,4,3
2022-03-24 00:00:00+00:00,1,1,0,0
2022-04-08 00:00:00+00:00,0,0,2,1
2022-04-26 00:00:00+00:00,0,0,2,1
2022-04-27 00:00:00+00:00,0,0,1,1
2022-05-03 00:00:00+00:00,0,0,2,2
2022-05-06 00:00:00+00:00,0,0,1,1
2022-05-08 00:00:00+00:00,0,0,1,1
2022-05-09 00:00:00+00:00,0,0,1,1
2022-05-10 00:00:00+00:00,2,1,2,2
2022-05-17 00:00:00+00:00,0,0,2,1
2022-05-24 00:00:00+00:00,0,0,1,1
2022-06-20 00:00:00+00:00,0,0,1,1
2022-06-22 00:00:00+00:00,0,0,19,2
