time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-14 00:00:00+00:00,0,0,1,1
2025-07-15 00:00:00+00:00,0,0,1,1
2025-07-22 00:00:00+00:00,0,0,2,2
2025-07-23 00:00:00+00:00,0,0,8,1
2025-07-24 00:00:00+00:00,0,0,4,2
2025-07-25 00:00:00+00:00,1,1,4,3
2025-07-26 00:00:00+00:00,0,0,2,2
2025-07-27 00:00:00+00:00,0,0,27,3
2025-07-28 00:00:00+00:00,0,0,2,2
2025-07-29 00:00:00+00:00,1,1,2,2
2025-07-31 00:00:00+00:00,0,0,1,1
2025-08-01 00:00:00+00:00,0,0,3,1
2025-08-03 00:00:00+00:00,0,0,33,3
2025-08-04 00:00:00+00:00,1,1,3,2
2025-08-06 00:00:00+00:00,0,0,6,1
2025-08-07 00:00:00+00:00,0,0,14,2
2025-08-08 00:00:00+00:00,0,0,1,1
2025-08-09 00:00:00+00:00,1,1,0,0
2025-08-11 00:00:00+00:00,0,0,2,2
2025-08-13 00:00:00+00:00,1,1,4,3
2025-08-14 00:00:00+00:00,0,0,1,1
2025-08-16 00:00:00+00:00,0,0,1,1
2025-08-19 00:00:00+00:00,2,2,2,2
2025-08-21 00:00:00+00:00,0,0,4,3
2025-08-24 00:00:00+00:00,0,0,1,1
2025-08-25 00:00:00+00:00,0,0,2,1
2025-08-26 00:00:00+00:00,0,0,1,1
2025-08-27 00:00:00+00:00,4,4,0,0
2025-08-28 00:00:00+00:00,1,1,8,2
2025-08-29 00:00:00+00:00,1,1,0,0
2025-08-30 00:00:00+00:00,1,1,2,2
2025-08-31 00:00:00+00:00,1,1,2,1
2025-09-01 00:00:00+00:00,1,1,15,3
2025-09-02 00:00:00+00:00,0,0,1,1
2025-09-03 00:00:00+00:00,0,0,1,1
2025-09-04 00:00:00+00:00,0,0,1,1
2025-09-05 00:00:00+00:00,0,0,1,1
2025-09-06 00:00:00+00:00,0,0,1,1
2025-09-08 00:00:00+00:00,1,1,3,3
2025-09-09 00:00:00+00:00,0,0,3,3
2025-09-10 00:00:00+00:00,0,0,3,3
2025-09-12 00:00:00+00:00,0,0,63,1
2025-09-13 00:00:00+00:00,0,0,4,1
2025-09-14 00:00:00+00:00,0,0,2,2
2025-09-16 00:00:00+00:00,0,0,5,1
2025-09-18 00:00:00+00:00,0,0,1,1
2025-09-19 00:00:00+00:00,0,0,1,1
2025-09-20 00:00:00+00:00,0,0,1,1
2025-09-22 00:00:00+00:00,1,1,0,0
2025-09-23 00:00:00+00:00,1,1,25,1
2025-09-24 00:00:00+00:00,0,0,1,1
2025-09-25 00:00:00+00:00,2,2,6,1
2025-09-27 00:00:00+00:00,1,1,0,0
2025-09-28 00:00:00+00:00,0,0,4,2
2025-09-29 00:00:00+00:00,0,0,1,1
2025-09-30 00:00:00+00:00,0,0,10,4
2025-10-03 00:00:00+00:00,0,0,4,2
2025-10-06 00:00:00+00:00,0,0,4,2
2025-10-07 00:00:00+00:00,1,1,3,2
2025-10-08 00:00:00+00:00,0,0,2,1
2025-10-09 00:00:00+00:00,0,0,21,5
2025-10-10 00:00:00+00:00,0,0,19,4
2025-10-11 00:00:00+00:00,1,1,11,3
2025-10-12 00:00:00+00:00,0,0,5,3
2025-10-13 00:00:00+00:00,0,0,25,6
2025-10-14 00:00:00+00:00,0,0,7,5
2025-10-15 00:00:00+00:00,0,0,6,6
2025-10-16 00:00:00+00:00,0,0,1,1
2025-10-17 00:00:00+00:00,0,0,5,5
2025-10-18 00:00:00+00:00,0,0,10,3
2025-10-19 00:00:00+00:00,0,0,11,5
2025-10-20 00:00:00+00:00,0,0,4,4
2025-10-21 00:00:00+00:00,2,2,2,1
2025-10-22 00:00:00+00:00,0,0,5,4
2025-10-23 00:00:00+00:00,0,0,3,1
2025-10-25 00:00:00+00:00,0,0,2,2
2025-10-26 00:00:00+00:00,0,0,2,2
2025-10-27 00:00:00+00:00,1,1,7,5
2025-10-28 00:00:00+00:00,1,1,9,3
2025-10-29 00:00:00+00:00,0,0,2,2
2025-10-30 00:00:00+00:00,0,0,1,1
2025-10-31 00:00:00+00:00,1,1,5,5
2025-11-01 00:00:00+00:00,1,1,0,0
2025-11-02 00:00:00+00:00,0,0,3,3
2025-11-03 00:00:00+00:00,0,0,9,5
2025-11-04 00:00:00+00:00,0,0,1,1
2025-11-05 00:00:00+00:00,0,0,7,4
2025-11-06 00:00:00+00:00,2,1,0,0
2025-11-07 00:00:00+00:00,1,1,2,2
2025-11-08 00:00:00+00:00,0,0,2,2
2025-11-09 00:00:00+00:00,0,0,2,2
2025-11-10 00:00:00+00:00,0,0,3,2
2025-11-11 00:00:00+00:00,0,0,8,4
2025-11-13 00:00:00+00:00,1,1,2,2
2025-11-14 00:00:00+00:00,1,1,1,1
2025-11-15 00:00:00+00:00,0,0,1,1
2025-11-16 00:00:00+00:00,0,0,1,1
2025-11-17 00:00:00+00:00,0,0,5,3
2025-11-18 00:00:00+00:00,0,0,2,2
2025-11-19 00:00:00+00:00,0,0,3,3
2025-11-20 00:00:00+00:00,1,1,7,5
2025-11-21 00:00:00+00:00,0,0,2,2
2025-11-22 00:00:00+00:00,0,0,4,2
2025-11-23 00:00:00+00:00,0,0,1,1
2025-11-24 00:00:00+00:00,0,0,11,2
2025-11-25 00:00:00+00:00,0,0,7,5
2025-11-26 00:00:00+00:00,0,0,2,1
2025-11-28 00:00:00+00:00,1,1,1,1
2025-11-29 00:00:00+00:00,0,0,4,3
2025-11-30 00:00:00+00:00,0,0,5,2
2025-12-01 00:00:00+00:00,0,0,5,4
