url_path,views_total,views_unique
/IdahoLabUnsupported/IGCAPT/tree/master/src/main,6,1
/IdahoLabUnsupported/IGCAPT/tree/master/GDTAF%20Import%20Data,5,1
/IdahoLabUnsupported/IGCAPT,4,3
/IdahoLabUnsupported/IGCAPT/tree/master,4,2
/IdahoLabUnsupported/IGCAPT/blob/6b4742ea054fbf8d25e49017cf1c5ce8653b5776/src/main/java/gov/inl/igcapt/components/Heatmap.java,4,1
/IdahoLabUnsupported/IGCAPT/tree/master/src/main/xsd,4,1
/IdahoLabUnsupported/IGCAPT/tree/master/src/main/xsd/common-model-definition-main,4,1
/IdahoLabUnsupported/IGCAPT/blob/master/src/main/xsd/common-model-definition-main/gdtaf-core.xsd,2,1
/IdahoLabUnsupported/IGCAPT/blob/master/src/main/xsd/common-model-definition-main/gdtaf-model.xsd,2,1
/IdahoLabUnsupported/IGCAPT/blob/master/src/main/xsd/grid-use-case-scenario-master/gdtaf-gucs.xsd,2,1
