time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-13 00:00:00+00:00,,,13.0,3.0
2022-03-14 00:00:00+00:00,,,24.0,9.0
2022-03-15 00:00:00+00:00,,,11.0,6.0
2022-03-16 00:00:00+00:00,,,9.0,8.0
2022-03-17 00:00:00+00:00,,,24.0,6.0
2022-03-18 00:00:00+00:00,,,10.0,7.0
2022-03-19 00:00:00+00:00,1.0,1.0,2.0,2.0
2022-03-20 00:00:00+00:00,,,2.0,2.0
2022-03-21 00:00:00+00:00,,,22.0,8.0
2022-03-22 00:00:00+00:00,2.0,1.0,3.0,1.0
2022-03-23 00:00:00+00:00,,,5.0,4.0
2022-03-24 00:00:00+00:00,,,16.0,8.0
2022-03-25 00:00:00+00:00,,,13.0,10.0
2022-03-26 00:00:00+00:00,1.0,1.0,,
