time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-19 00:00:00+00:00,8,6,225,22
2023-09-20 00:00:00+00:00,7,7,442,62
2023-09-21 00:00:00+00:00,11,6,247,54
2023-09-22 00:00:00+00:00,12,9,277,60
2023-09-23 00:00:00+00:00,7,6,102,41
2023-09-24 00:00:00+00:00,2,2,215,36
2023-09-25 00:00:00+00:00,18,8,322,73
2023-09-26 00:00:00+00:00,15,9,458,66
2023-09-27 00:00:00+00:00,4,4,280,56
2023-09-28 00:00:00+00:00,14,12,411,57
2023-09-29 00:00:00+00:00,8,6,459,51
2023-09-30 00:00:00+00:00,4,4,42,23
2023-10-01 00:00:00+00:00,3,3,67,19
2023-10-02 00:00:00+00:00,10,7,350,55
2023-10-03 00:00:00+00:00,7,5,257,36
