time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-21 00:00:00+00:00,27,7,1,1
2024-03-22 00:00:00+00:00,43,14,2,2
2024-03-23 00:00:00+00:00,16,10,1,1
2024-03-24 00:00:00+00:00,18,11,3,3
2024-03-25 00:00:00+00:00,49,16,65,16
2024-03-26 00:00:00+00:00,105,18,23,7
2024-03-27 00:00:00+00:00,72,22,36,10
2024-03-28 00:00:00+00:00,62,21,15,4
2024-03-29 00:00:00+00:00,68,18,4,3
2024-03-30 00:00:00+00:00,20,12,3,1
2024-03-31 00:00:00+00:00,19,12,32,6
2024-04-01 00:00:00+00:00,93,20,6,4
2024-04-02 00:00:00+00:00,75,19,22,4
2024-04-03 00:00:00+00:00,53,17,24,4
2024-04-04 00:00:00+00:00,58,13,10,3
