time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-05 00:00:00+00:00,28,6,,
2022-10-06 00:00:00+00:00,82,23,2.0,2.0
2022-10-07 00:00:00+00:00,14,11,2.0,2.0
2022-10-08 00:00:00+00:00,10,9,,
2022-10-09 00:00:00+00:00,22,10,1.0,1.0
2022-10-10 00:00:00+00:00,27,15,,
2022-10-11 00:00:00+00:00,49,14,,
2022-10-12 00:00:00+00:00,77,13,1.0,1.0
2022-10-13 00:00:00+00:00,30,13,,
2022-10-14 00:00:00+00:00,14,12,1.0,1.0
2022-10-15 00:00:00+00:00,10,9,,
2022-10-16 00:00:00+00:00,12,10,,
2022-10-17 00:00:00+00:00,25,13,3.0,2.0
2022-10-18 00:00:00+00:00,70,17,4.0,2.0
2022-10-19 00:00:00+00:00,33,10,,
