url_path,views_total,views_unique
/cisagov/icsnpp-dnp3,29,17
/cisagov/icsnpp-dnp3/tree/main/scripts,8,3
/cisagov/icsnpp-dnp3/tree/49a43d31c9484998aff42d2fbec1e271c120efa1,7,4
/cisagov/icsnpp-dnp3/tree/main/tests,5,2
/cisagov/icsnpp-dnp3/tree/main/tests/baseline/analyzer.basic,5,1
/cisagov/icsnpp-dnp3/blob/main/scripts/consts.zeek,4,2
/cisagov/icsnpp-dnp3/blob/main/scripts/main.zeek,2,1
/cisagov/icsnpp-dnp3/blob/main/tests/baseline/analyzer.basic/dnp3_control.log,2,1
/cisagov/icsnpp-dnp3/blob/main/tests/baseline/analyzer.basic/dnp3.log,2,1
/cisagov/icsnpp-dnp3/blob/main/tests/baseline/analyzer.basic/dnp3_objects.log,2,1
