time_iso8601,stars_cumulative
2021-01-21 00:00:00+00:00,1
2021-02-11 00:00:00+00:00,3
2021-03-05 00:00:00+00:00,4
2021-03-16 00:00:00+00:00,5
2021-04-28 00:00:00+00:00,6
2021-04-30 00:00:00+00:00,7
2021-06-16 00:00:00+00:00,8
2022-02-04 00:00:00+00:00,9
2022-02-08 00:00:00+00:00,10
2022-05-30 00:00:00+00:00,11
2023-02-01 00:00:00+00:00,12
2023-07-25 00:00:00+00:00,13
2023-10-17 00:00:00+00:00,14
2023-11-23 00:00:00+00:00,15
2024-06-24 00:00:00+00:00,16
2024-07-03 00:00:00+00:00,17
2024-10-12 00:00:00+00:00,18
2024-11-22 00:00:00+00:00,19
2024-12-20 00:00:00+00:00,20
2025-02-26 00:00:00+00:00,21
2025-03-31 00:00:00+00:00,22
2025-04-04 00:00:00+00:00,23
2025-05-23 00:00:00+00:00,24
2025-06-30 00:00:00+00:00,25
