time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-06 00:00:00+00:00,57,27,18.0,5.0
2025-12-07 00:00:00+00:00,51,27,,
2025-12-08 00:00:00+00:00,77,32,4.0,3.0
2025-12-09 00:00:00+00:00,76,35,16.0,6.0
2025-12-10 00:00:00+00:00,75,33,2.0,2.0
2025-12-11 00:00:00+00:00,68,30,,
2025-12-12 00:00:00+00:00,57,28,,
2025-12-13 00:00:00+00:00,52,27,,
2025-12-14 00:00:00+00:00,52,26,,
2025-12-15 00:00:00+00:00,62,29,1.0,1.0
2025-12-16 00:00:00+00:00,102,40,3.0,2.0
2025-12-17 00:00:00+00:00,123,34,1.0,1.0
2025-12-18 00:00:00+00:00,75,26,8.0,3.0
2025-12-19 00:00:00+00:00,71,31,4.0,3.0
2025-12-20 00:00:00+00:00,2,2,,
