time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-25 00:00:00+00:00,6,5,2.0,1.0
2023-02-26 00:00:00+00:00,16,9,3.0,1.0
2023-02-27 00:00:00+00:00,17,15,4.0,2.0
2023-02-28 00:00:00+00:00,18,16,34.0,4.0
2023-03-01 00:00:00+00:00,21,17,8.0,5.0
2023-03-02 00:00:00+00:00,26,16,12.0,2.0
2023-03-03 00:00:00+00:00,12,11,5.0,2.0
2023-03-04 00:00:00+00:00,11,10,,
2023-03-05 00:00:00+00:00,12,10,14.0,2.0
2023-03-06 00:00:00+00:00,31,14,1.0,1.0
2023-03-07 00:00:00+00:00,20,16,157.0,6.0
2023-03-08 00:00:00+00:00,41,21,3.0,2.0
2023-03-09 00:00:00+00:00,27,13,,
2023-03-10 00:00:00+00:00,16,15,3.0,2.0
2023-03-11 00:00:00+00:00,5,4,,
