time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-27 00:00:00+00:00,3,3,,
2025-06-28 00:00:00+00:00,15,12,1.0,1.0
2025-06-29 00:00:00+00:00,64,9,,
2025-06-30 00:00:00+00:00,58,23,10.0,4.0
2025-07-01 00:00:00+00:00,75,32,3.0,2.0
2025-07-02 00:00:00+00:00,54,17,,
2025-07-03 00:00:00+00:00,83,27,8.0,2.0
2025-07-04 00:00:00+00:00,21,14,1.0,1.0
2025-07-05 00:00:00+00:00,48,12,1.0,1.0
2025-07-06 00:00:00+00:00,48,11,,
2025-07-07 00:00:00+00:00,35,15,55.0,5.0
2025-07-08 00:00:00+00:00,43,25,21.0,2.0
2025-07-09 00:00:00+00:00,32,21,25.0,2.0
2025-07-10 00:00:00+00:00,32,18,,
2025-07-11 00:00:00+00:00,16,12,8.0,1.0
