url_path,views_total,views_unique
/cisagov/icsnpp-modbus,58,27
/cisagov/icsnpp-modbus/tree/main/examples,32,5
/cisagov/icsnpp-modbus/blob/main/examples/modbus_detailed.log,20,3
/cisagov/icsnpp-modbus/blob/main/examples/modbus_mask_write_register.log,11,1
/cisagov/icsnpp-modbus/blob/main/examples/modbus_read_write_multiple_registers.log,11,1
/cisagov/icsnpp-modbus/tree/main/scripts,8,7
/cisagov/icsnpp-modbus/blob/main/examples/modbus.log,5,4
/cisagov/icsnpp-modbus/blob/main/scripts/main.zeek,4,4
/cisagov/icsnpp-modbus/tree/03de54df8b0a8c1e6264876167f80dccae74902a,3,3
/cisagov/icsnpp-modbus/blob/main/examples/conn.log,2,2
