time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-02 00:00:00+00:00,7,5,,
2024-02-03 00:00:00+00:00,10,9,,
2024-02-04 00:00:00+00:00,18,11,2.0,1.0
2024-02-05 00:00:00+00:00,29,14,17.0,4.0
2024-02-06 00:00:00+00:00,38,20,35.0,6.0
2024-02-07 00:00:00+00:00,60,20,11.0,3.0
2024-02-08 00:00:00+00:00,37,23,22.0,3.0
2024-02-09 00:00:00+00:00,19,12,,
2024-02-10 00:00:00+00:00,12,10,,
2024-02-11 00:00:00+00:00,18,11,,
2024-02-12 00:00:00+00:00,43,13,31.0,8.0
2024-02-13 00:00:00+00:00,22,13,41.0,6.0
2024-02-14 00:00:00+00:00,72,20,11.0,4.0
2024-02-15 00:00:00+00:00,85,26,4.0,4.0
2024-02-16 00:00:00+00:00,16,9,1.0,1.0
