time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-11 00:00:00+00:00,58,27,25.0,4.0
2025-10-12 00:00:00+00:00,116,36,3.0,3.0
2025-10-13 00:00:00+00:00,174,65,12.0,7.0
2025-10-14 00:00:00+00:00,114,44,14.0,7.0
2025-10-15 00:00:00+00:00,193,51,10.0,7.0
2025-10-16 00:00:00+00:00,159,40,44.0,8.0
2025-10-17 00:00:00+00:00,110,35,3.0,3.0
2025-10-18 00:00:00+00:00,57,27,5.0,5.0
2025-10-19 00:00:00+00:00,44,26,1.0,1.0
2025-10-20 00:00:00+00:00,46,27,13.0,7.0
2025-10-21 00:00:00+00:00,91,38,17.0,5.0
2025-10-22 00:00:00+00:00,84,35,7.0,7.0
2025-10-23 00:00:00+00:00,81,38,4.0,3.0
2025-10-24 00:00:00+00:00,64,32,4.0,3.0
2025-10-25 00:00:00+00:00,2,2,,
