time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-16 00:00:00+00:00,1.0,1.0,19,5
2024-05-17 00:00:00+00:00,3.0,3.0,35,16
2024-05-18 00:00:00+00:00,1.0,1.0,17,5
2024-05-19 00:00:00+00:00,,,4,3
2024-05-20 00:00:00+00:00,3.0,3.0,45,19
2024-05-21 00:00:00+00:00,4.0,3.0,16,12
2024-05-22 00:00:00+00:00,5.0,4.0,26,12
2024-05-23 00:00:00+00:00,3.0,3.0,10,8
2024-05-24 00:00:00+00:00,2.0,2.0,35,13
2024-05-25 00:00:00+00:00,5.0,3.0,5,4
2024-05-26 00:00:00+00:00,1.0,1.0,91,47
2024-05-27 00:00:00+00:00,1.0,1.0,96,41
2024-05-28 00:00:00+00:00,4.0,2.0,180,40
2024-05-29 00:00:00+00:00,,,116,22
2024-05-30 00:00:00+00:00,1.0,1.0,33,8
