url_path,views_total,views_unique
/cisagov/parsnip,32,21
/cisagov/parsnip/blob/main/docs/parsnip.md,16,11
/cisagov/parsnip/tree/main/docs,8,6
/cisagov/parsnip/blob/main/docs/syntax.md,4,4
/cisagov/parsnip/tree/main/backend,4,3
/cisagov/parsnip/tree/main/frontend,2,2
/cisagov/parsnip/tree/main,2,1
/cisagov/parsnip/blob/main/docs/parsnip_files/intermediate_language/general/config.json,1,1
/cisagov/parsnip/blob/main/docs/parsnip_files/intermediate_language/general/objects.json,1,1
/cisagov/parsnip/blob/main/README.md,1,1
