time_iso8601,stars_cumulative
2024-04-30 00:00:00+00:00,8
2024-05-01 00:00:00+00:00,10
2024-05-03 00:00:00+00:00,11
2024-05-06 00:00:00+00:00,19
2024-05-07 00:00:00+00:00,27
2024-05-08 00:00:00+00:00,30
2024-05-09 00:00:00+00:00,34
2024-05-10 00:00:00+00:00,39
2024-05-11 00:00:00+00:00,41
2024-05-12 00:00:00+00:00,44
2024-05-13 00:00:00+00:00,47
2024-05-14 00:00:00+00:00,50
2024-05-15 00:00:00+00:00,53
2024-05-16 00:00:00+00:00,56
2024-05-17 00:00:00+00:00,57
2024-05-23 00:00:00+00:00,58
2024-05-26 00:00:00+00:00,59
2024-06-18 00:00:00+00:00,60
2024-06-21 00:00:00+00:00,61
2024-08-15 00:00:00+00:00,62
2024-08-21 00:00:00+00:00,63
2024-09-04 00:00:00+00:00,64
2024-09-05 00:00:00+00:00,67
