time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-01 00:00:00+00:00,0,0,1,1
2023-03-02 00:00:00+00:00,4,2,0,0
2023-03-03 00:00:00+00:00,0,0,1,1
2023-03-05 00:00:00+00:00,1,1,1,1
2023-03-06 00:00:00+00:00,1,1,1,1
2023-03-07 00:00:00+00:00,2,2,0,0
2023-03-08 00:00:00+00:00,1,1,1,1
2023-03-11 00:00:00+00:00,1,1,0,0
2023-03-12 00:00:00+00:00,1,1,0,0
2023-03-13 00:00:00+00:00,1,1,2,2
2023-03-15 00:00:00+00:00,0,0,2,2
2023-03-16 00:00:00+00:00,0,0,3,3
2023-03-17 00:00:00+00:00,0,0,2,2
2023-03-18 00:00:00+00:00,0,0,3,3
2023-03-21 00:00:00+00:00,0,0,1,1
2023-03-22 00:00:00+00:00,0,0,1,1
2023-03-23 00:00:00+00:00,0,0,3,3
2023-03-24 00:00:00+00:00,0,0,2,2
2023-03-27 00:00:00+00:00,0,0,2,2
2023-03-30 00:00:00+00:00,0,0,3,2
2023-04-02 00:00:00+00:00,0,0,1,1
2023-04-03 00:00:00+00:00,1,1,2,2
2023-04-07 00:00:00+00:00,0,0,1,1
2023-04-08 00:00:00+00:00,0,0,1,1
2023-04-09 00:00:00+00:00,1,1,3,2
2023-04-10 00:00:00+00:00,0,0,1,1
2023-04-11 00:00:00+00:00,0,0,1,1
2023-04-13 00:00:00+00:00,0,0,1,1
2023-04-14 00:00:00+00:00,0,0,4,1
2023-04-17 00:00:00+00:00,0,0,3,3
2023-04-18 00:00:00+00:00,0,0,3,3
2023-04-19 00:00:00+00:00,0,0,1,1
2023-04-21 00:00:00+00:00,1,1,2,2
2023-04-22 00:00:00+00:00,1,1,0,0
2023-04-24 00:00:00+00:00,0,0,1,1
2023-04-25 00:00:00+00:00,0,0,5,4
2023-04-26 00:00:00+00:00,0,0,4,2
2023-05-01 00:00:00+00:00,0,0,1,1
2023-05-02 00:00:00+00:00,0,0,3,3
2023-05-03 00:00:00+00:00,0,0,1,1
2023-05-04 00:00:00+00:00,0,0,4,1
2023-05-08 00:00:00+00:00,0,0,4,2
2023-05-09 00:00:00+00:00,0,0,1,1
2023-05-10 00:00:00+00:00,0,0,3,2
2023-05-11 00:00:00+00:00,0,0,1,1
2023-05-16 00:00:00+00:00,0,0,5,3
2023-05-17 00:00:00+00:00,0,0,2,2
2023-05-19 00:00:00+00:00,0,0,9,2
2023-05-20 00:00:00+00:00,0,0,1,1
2023-05-22 00:00:00+00:00,0,0,1,1
2023-05-23 00:00:00+00:00,0,0,1,1
2023-05-24 00:00:00+00:00,4,2,0,0
2023-05-27 00:00:00+00:00,1,1,0,0
2023-05-28 00:00:00+00:00,1,1,0,0
2023-05-29 00:00:00+00:00,0,0,1,1
2023-06-01 00:00:00+00:00,0,0,1,1
2023-06-04 00:00:00+00:00,0,0,1,1
2023-06-05 00:00:00+00:00,0,0,1,1
2023-06-06 00:00:00+00:00,0,0,1,1
2023-06-07 00:00:00+00:00,0,0,2,2
2023-06-12 00:00:00+00:00,1,1,0,0
2023-06-13 00:00:00+00:00,0,0,1,1
2023-06-17 00:00:00+00:00,0,0,1,1
2023-06-22 00:00:00+00:00,4,2,0,0
2023-06-23 00:00:00+00:00,1,1,0,0
2023-06-25 00:00:00+00:00,1,1,1,1
2023-06-27 00:00:00+00:00,1,1,0,0
2023-06-29 00:00:00+00:00,0,0,1,1
2023-06-30 00:00:00+00:00,1,1,1,1
2023-07-01 00:00:00+00:00,1,1,0,0
2023-07-02 00:00:00+00:00,0,0,1,1
2023-07-06 00:00:00+00:00,0,0,3,1
2023-07-12 00:00:00+00:00,0,0,3,3
2023-07-13 00:00:00+00:00,2,1,4,1
2023-07-14 00:00:00+00:00,1,1,0,0
2023-07-15 00:00:00+00:00,1,1,1,1
2023-07-16 00:00:00+00:00,0,0,1,1
2023-07-17 00:00:00+00:00,1,1,0,0
2023-07-18 00:00:00+00:00,0,0,1,1
2023-07-19 00:00:00+00:00,1,1,1,1
2023-07-20 00:00:00+00:00,0,0,3,1
2023-07-21 00:00:00+00:00,0,0,14,2
2023-07-25 00:00:00+00:00,1,1,0,0
2023-07-26 00:00:00+00:00,0,0,3,2
2023-07-27 00:00:00+00:00,0,0,1,1
2023-07-28 00:00:00+00:00,4,2,0,0
