time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-01 00:00:00+00:00,1,1,1,1
2023-03-02 00:00:00+00:00,2,1,0,0
2023-03-05 00:00:00+00:00,1,1,0,0
2023-03-08 00:00:00+00:00,1,1,0,0
2023-03-15 00:00:00+00:00,1,1,0,0
2023-03-20 00:00:00+00:00,0,0,1,1
2023-03-22 00:00:00+00:00,1,1,0,0
2023-03-24 00:00:00+00:00,0,0,3,1
2023-03-27 00:00:00+00:00,0,0,1,1
2023-03-28 00:00:00+00:00,1,1,0,0
2023-03-29 00:00:00+00:00,1,1,0,0
2023-03-30 00:00:00+00:00,0,0,1,1
2023-04-05 00:00:00+00:00,1,1,0,0
2023-04-09 00:00:00+00:00,1,1,0,0
2023-04-12 00:00:00+00:00,1,1,2,2
2023-04-15 00:00:00+00:00,0,0,1,1
2023-04-19 00:00:00+00:00,1,1,3,1
2023-04-25 00:00:00+00:00,0,0,2,1
2023-04-26 00:00:00+00:00,1,1,0,0
2023-05-03 00:00:00+00:00,0,0,1,1
2023-05-04 00:00:00+00:00,1,1,0,0
2023-05-07 00:00:00+00:00,0,0,3,1
2023-05-09 00:00:00+00:00,0,0,6,1
2023-05-10 00:00:00+00:00,0,0,4,1
2023-05-23 00:00:00+00:00,4,2,0,0
2023-05-29 00:00:00+00:00,1,1,0,0
2023-06-06 00:00:00+00:00,0,0,2,1
2023-06-07 00:00:00+00:00,0,0,1,1
2023-06-12 00:00:00+00:00,0,0,1,1
2023-06-14 00:00:00+00:00,5,2,0,0
2023-06-15 00:00:00+00:00,1,1,0,0
2023-06-19 00:00:00+00:00,1,1,0,0
2023-06-21 00:00:00+00:00,6,3,0,0
2023-06-22 00:00:00+00:00,1,1,0,0
2023-06-24 00:00:00+00:00,1,1,1,1
2023-06-26 00:00:00+00:00,1,1,0,0
2023-06-29 00:00:00+00:00,1,1,1,1
2023-07-02 00:00:00+00:00,1,1,0,0
2023-07-03 00:00:00+00:00,0,0,1,1
2023-07-13 00:00:00+00:00,1,1,0,0
2023-07-17 00:00:00+00:00,1,1,0,0
2023-07-28 00:00:00+00:00,2,1,0,0
2023-07-29 00:00:00+00:00,1,1,0,0
2023-08-10 00:00:00+00:00,1,1,0,0
2023-08-20 00:00:00+00:00,1,1,0,0
2023-08-24 00:00:00+00:00,2,1,0,0
2023-08-26 00:00:00+00:00,1,1,0,0
2023-08-31 00:00:00+00:00,0,0,1,1
2023-09-01 00:00:00+00:00,0,0,5,1
2023-09-02 00:00:00+00:00,0,0,27,1
2023-09-13 00:00:00+00:00,1,1,0,0
2023-09-15 00:00:00+00:00,3,1,0,0
2023-09-16 00:00:00+00:00,1,1,0,0
2023-09-22 00:00:00+00:00,0,0,5,2
2023-09-24 00:00:00+00:00,1,1,0,0
2023-10-01 00:00:00+00:00,1,1,0,0
2023-10-07 00:00:00+00:00,0,0,6,1
2023-10-09 00:00:00+00:00,2,1,0,0
2023-10-27 00:00:00+00:00,0,0,8,1
2023-10-31 00:00:00+00:00,1,1,0,0
2023-11-01 00:00:00+00:00,1,1,0,0
2023-11-02 00:00:00+00:00,0,0,14,1
2023-11-03 00:00:00+00:00,1,1,0,0
2023-11-05 00:00:00+00:00,1,1,1,1
2023-11-06 00:00:00+00:00,1,1,0,0
2023-11-14 00:00:00+00:00,1,1,0,0
2023-11-19 00:00:00+00:00,1,1,0,0
2023-11-23 00:00:00+00:00,1,1,0,0
2023-11-24 00:00:00+00:00,1,1,0,0
2023-12-03 00:00:00+00:00,1,1,0,0
2023-12-05 00:00:00+00:00,1,1,0,0
2023-12-10 00:00:00+00:00,1,1,0,0
2023-12-21 00:00:00+00:00,0,0,1,1
2023-12-22 00:00:00+00:00,1,1,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-09 00:00:00+00:00,2,2,0,0
2024-01-10 00:00:00+00:00,1,1,0,0
2024-01-11 00:00:00+00:00,1,1,0,0
2024-01-12 00:00:00+00:00,1,1,0,0
2024-01-14 00:00:00+00:00,2,1,0,0
2024-01-16 00:00:00+00:00,1,1,1,1
2024-01-22 00:00:00+00:00,0,0,2,1
2024-01-23 00:00:00+00:00,1,1,0,0
2024-01-26 00:00:00+00:00,1,1,0,0
2024-01-27 00:00:00+00:00,0,0,1,1
2024-02-02 00:00:00+00:00,1,1,0,0
2024-02-04 00:00:00+00:00,0,0,2,1
2024-02-14 00:00:00+00:00,0,0,1,1
2024-02-16 00:00:00+00:00,2,1,0,0
2024-02-23 00:00:00+00:00,0,0,1,1
2024-02-28 00:00:00+00:00,0,0,1,1
2024-02-29 00:00:00+00:00,0,0,2,1
2024-03-01 00:00:00+00:00,0,0,2,1
2024-03-06 00:00:00+00:00,0,0,1,1
2024-03-07 00:00:00+00:00,1,1,0,0
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-12 00:00:00+00:00,1,1,0,0
2024-03-18 00:00:00+00:00,0,0,1,1
2024-03-20 00:00:00+00:00,1,1,0,0
2024-03-25 00:00:00+00:00,0,0,2,1
2024-03-26 00:00:00+00:00,0,0,1,1
2024-03-27 00:00:00+00:00,0,0,4,2
2024-03-28 00:00:00+00:00,1,1,1,1
2024-03-29 00:00:00+00:00,1,1,1,1
2024-04-01 00:00:00+00:00,0,0,1,1
2024-04-02 00:00:00+00:00,0,0,4,1
2024-04-03 00:00:00+00:00,2,2,2,1
2024-04-04 00:00:00+00:00,0,0,4,1
2024-04-12 00:00:00+00:00,1,1,0,0
2024-04-16 00:00:00+00:00,1,1,0,0
2024-04-22 00:00:00+00:00,1,1,0,0
2024-04-24 00:00:00+00:00,0,0,1,1
2024-05-03 00:00:00+00:00,1,1,2,2
2024-05-06 00:00:00+00:00,2,1,0,0
2024-05-07 00:00:00+00:00,0,0,1,1
2024-05-21 00:00:00+00:00,1,1,1,1
2024-05-22 00:00:00+00:00,0,0,1,1
2024-05-25 00:00:00+00:00,1,1,0,0
2024-06-12 00:00:00+00:00,0,0,7,3
2024-06-13 00:00:00+00:00,1,1,7,1
2024-06-17 00:00:00+00:00,1,1,0,0
2024-06-19 00:00:00+00:00,1,1,0,0
2024-06-24 00:00:00+00:00,3,3,0,0
2024-06-25 00:00:00+00:00,0,0,1,1
2024-07-05 00:00:00+00:00,1,1,0,0
2024-07-10 00:00:00+00:00,0,0,1,1
2024-07-15 00:00:00+00:00,1,1,0,0
2024-07-18 00:00:00+00:00,0,0,1,1
2024-07-25 00:00:00+00:00,1,1,1,1
2024-07-26 00:00:00+00:00,0,0,27,1
2024-07-29 00:00:00+00:00,0,0,22,3
2024-07-30 00:00:00+00:00,1,1,0,0
2024-07-31 00:00:00+00:00,1,1,1,1
2024-08-02 00:00:00+00:00,0,0,14,1
2024-08-05 00:00:00+00:00,1,1,55,2
2024-08-06 00:00:00+00:00,0,0,3,1
2024-08-12 00:00:00+00:00,0,0,2,1
2024-08-19 00:00:00+00:00,1,1,21,1
2024-08-20 00:00:00+00:00,0,0,1,1
2024-09-01 00:00:00+00:00,1,1,0,0
2024-09-13 00:00:00+00:00,0,0,1,1
2024-09-17 00:00:00+00:00,3,3,0,0
2024-09-20 00:00:00+00:00,1,1,0,0
2024-09-24 00:00:00+00:00,0,0,1,1
2024-09-25 00:00:00+00:00,0,0,10,1
2024-10-03 00:00:00+00:00,3,3,0,0
2024-10-12 00:00:00+00:00,1,1,0,0
2024-10-22 00:00:00+00:00,2,2,0,0
2024-10-25 00:00:00+00:00,1,1,0,0
2024-11-07 00:00:00+00:00,2,2,0,0
2024-11-12 00:00:00+00:00,0,0,5,2
2024-12-02 00:00:00+00:00,0,0,1,1
2024-12-10 00:00:00+00:00,0,0,6,2
2024-12-23 00:00:00+00:00,1,1,0,0
2025-01-05 00:00:00+00:00,0,0,1,1
2025-01-08 00:00:00+00:00,1,1,0,0
2025-01-12 00:00:00+00:00,0,0,1,1
2025-01-14 00:00:00+00:00,1,1,0,0
2025-02-05 00:00:00+00:00,1,1,0,0
2025-02-08 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-12 00:00:00+00:00,1,1,0,0
2025-02-13 00:00:00+00:00,1,1,0,0
2025-02-17 00:00:00+00:00,1,1,0,0
2025-02-19 00:00:00+00:00,0,0,1,1
2025-02-20 00:00:00+00:00,3,1,0,0
2025-02-21 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,3,1,0,0
2025-03-04 00:00:00+00:00,1,1,0,0
2025-03-05 00:00:00+00:00,0,0,1,1
2025-03-06 00:00:00+00:00,1,1,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,2,2,16,1
2025-03-11 00:00:00+00:00,1,1,0,0
2025-03-13 00:00:00+00:00,0,0,1,1
2025-03-15 00:00:00+00:00,0,0,1,1
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-22 00:00:00+00:00,1,1,0,0
2025-03-26 00:00:00+00:00,0,0,1,1
2025-03-29 00:00:00+00:00,0,0,2,1
2025-04-01 00:00:00+00:00,1,1,0,0
2025-04-03 00:00:00+00:00,1,1,0,0
2025-04-04 00:00:00+00:00,2,2,0,0
2025-04-07 00:00:00+00:00,1,1,0,0
2025-04-08 00:00:00+00:00,1,1,0,0
2025-04-14 00:00:00+00:00,1,1,0,0
2025-04-15 00:00:00+00:00,2,2,0,0
2025-04-16 00:00:00+00:00,1,1,0,0
2025-04-18 00:00:00+00:00,1,1,0,0
2025-04-21 00:00:00+00:00,1,1,0,0
2025-04-23 00:00:00+00:00,0,0,1,1
2025-04-24 00:00:00+00:00,1,1,0,0
2025-04-25 00:00:00+00:00,1,1,0,0
2025-04-27 00:00:00+00:00,1,1,0,0
2025-05-02 00:00:00+00:00,1,1,0,0
2025-05-06 00:00:00+00:00,2,1,0,0
2025-05-08 00:00:00+00:00,1,1,0,0
2025-05-09 00:00:00+00:00,3,1,0,0
2025-05-13 00:00:00+00:00,0,0,3,1
2025-05-19 00:00:00+00:00,1,1,0,0
2025-05-28 00:00:00+00:00,0,0,6,3
2025-05-29 00:00:00+00:00,3,1,0,0
2025-05-30 00:00:00+00:00,1,1,0,0
2025-06-03 00:00:00+00:00,1,1,1,1
2025-06-10 00:00:00+00:00,2,2,0,0
2025-06-16 00:00:00+00:00,1,1,2,1
2025-06-17 00:00:00+00:00,1,1,0,0
2025-06-18 00:00:00+00:00,2,2,0,0
2025-06-26 00:00:00+00:00,3,1,0,0
2025-06-27 00:00:00+00:00,2,1,0,0
2025-06-28 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,5,4,0,0
2025-06-30 00:00:00+00:00,3,2,0,0
2025-07-03 00:00:00+00:00,5,5,0,0
2025-07-04 00:00:00+00:00,1,1,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,2,2,0,0
