time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-24 00:00:00+00:00,0,0,1,1
2021-06-25 00:00:00+00:00,0,0,1,1
2021-06-28 00:00:00+00:00,0,0,1,1
2021-06-29 00:00:00+00:00,0,0,2,2
2021-06-30 00:00:00+00:00,0,0,3,3
2021-07-01 00:00:00+00:00,0,0,2,2
2021-07-02 00:00:00+00:00,0,0,1,1
2021-07-08 00:00:00+00:00,1,1,0,0
2021-07-09 00:00:00+00:00,0,0,1,1
2021-07-10 00:00:00+00:00,0,0,1,1
2021-07-11 00:00:00+00:00,0,0,1,1
2021-07-14 00:00:00+00:00,0,0,1,1
2021-07-15 00:00:00+00:00,0,0,2,2
2021-07-16 00:00:00+00:00,0,0,1,1
2021-07-18 00:00:00+00:00,0,0,2,1
2021-07-20 00:00:00+00:00,0,0,4,2
2021-07-21 00:00:00+00:00,0,0,3,1
2021-07-22 00:00:00+00:00,1,1,0,0
2021-07-23 00:00:00+00:00,2,2,0,0
2021-07-24 00:00:00+00:00,0,0,1,1
2021-07-25 00:00:00+00:00,0,0,5,5
2021-07-27 00:00:00+00:00,0,0,3,1
2021-07-28 00:00:00+00:00,0,0,2,2
2021-07-30 00:00:00+00:00,0,0,1,1
2021-08-01 00:00:00+00:00,0,0,3,3
2021-08-02 00:00:00+00:00,0,0,2,1
2021-08-03 00:00:00+00:00,0,0,1,1
2021-08-05 00:00:00+00:00,0,0,6,5
2021-08-07 00:00:00+00:00,0,0,1,1
2021-08-08 00:00:00+00:00,0,0,1,1
