time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-01 00:00:00+00:00,0,0,2,2
2023-03-02 00:00:00+00:00,4,2,0,0
2023-03-03 00:00:00+00:00,0,0,11,1
2023-03-04 00:00:00+00:00,0,0,1,1
2023-03-07 00:00:00+00:00,1,1,1,1
2023-03-09 00:00:00+00:00,0,0,2,1
2023-03-11 00:00:00+00:00,0,0,1,1
2023-03-14 00:00:00+00:00,0,0,2,1
2023-03-16 00:00:00+00:00,2,1,0,0
2023-03-17 00:00:00+00:00,0,0,1,1
2023-03-24 00:00:00+00:00,1,1,0,0
2023-04-03 00:00:00+00:00,0,0,1,1
2023-04-09 00:00:00+00:00,1,1,0,0
2023-04-13 00:00:00+00:00,0,0,1,1
2023-04-18 00:00:00+00:00,0,0,1,1
2023-04-23 00:00:00+00:00,2,2,0,0
2023-04-26 00:00:00+00:00,0,0,1,1
2023-04-29 00:00:00+00:00,1,1,0,0
2023-05-03 00:00:00+00:00,1,1,1,1
2023-05-08 00:00:00+00:00,0,0,3,1
2023-05-13 00:00:00+00:00,1,1,0,0
2023-05-17 00:00:00+00:00,1,1,0,0
2023-05-23 00:00:00+00:00,4,2,0,0
2023-05-24 00:00:00+00:00,2,1,0,0
2023-05-29 00:00:00+00:00,1,1,0,0
2023-05-30 00:00:00+00:00,0,0,1,1
2023-06-05 00:00:00+00:00,1,1,0,0
2023-06-18 00:00:00+00:00,2,2,0,0
2023-06-22 00:00:00+00:00,4,2,0,0
2023-06-24 00:00:00+00:00,1,1,0,0
2023-06-26 00:00:00+00:00,1,1,0,0
2023-06-29 00:00:00+00:00,0,0,1,1
2023-06-30 00:00:00+00:00,0,0,1,1
2023-07-01 00:00:00+00:00,1,1,0,0
2023-07-03 00:00:00+00:00,1,1,0,0
2023-07-04 00:00:00+00:00,1,1,1,1
2023-07-16 00:00:00+00:00,0,0,1,1
2023-07-18 00:00:00+00:00,0,0,2,2
2023-07-19 00:00:00+00:00,0,0,1,1
2023-07-20 00:00:00+00:00,0,0,1,1
2023-07-28 00:00:00+00:00,4,2,0,0
2023-07-29 00:00:00+00:00,0,0,15,8
2023-07-30 00:00:00+00:00,2,2,0,0
2023-07-31 00:00:00+00:00,0,0,10,7
2023-08-01 00:00:00+00:00,0,0,24,15
