time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-23 00:00:00+00:00,0,0,5,1
2025-01-13 00:00:00+00:00,1,1,0,0
2025-02-04 00:00:00+00:00,2,2,0,0
2025-02-05 00:00:00+00:00,1,1,0,0
2025-02-08 00:00:00+00:00,0,0,2,1
2025-02-10 00:00:00+00:00,2,2,0,0
2025-02-17 00:00:00+00:00,1,1,0,0
2025-02-20 00:00:00+00:00,2,1,0,0
2025-02-21 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,4,2,0,0
2025-02-26 00:00:00+00:00,0,0,2,1
2025-03-02 00:00:00+00:00,0,0,1,1
2025-03-04 00:00:00+00:00,1,1,0,0
2025-03-06 00:00:00+00:00,4,4,0,0
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-27 00:00:00+00:00,1,1,0,0
2025-03-28 00:00:00+00:00,0,0,1,1
2025-04-01 00:00:00+00:00,1,1,0,0
2025-04-04 00:00:00+00:00,1,1,0,0
2025-04-06 00:00:00+00:00,3,3,0,0
2025-04-07 00:00:00+00:00,6,6,0,0
2025-04-08 00:00:00+00:00,1,1,0,0
2025-04-11 00:00:00+00:00,1,1,0,0
2025-04-17 00:00:00+00:00,1,1,0,0
2025-04-20 00:00:00+00:00,1,1,0,0
