time_iso8601,forks_cumulative
2021-01-06 00:00:00+00:00,1
2021-02-15 00:00:00+00:00,2
2021-03-05 00:00:00+00:00,3
2021-09-11 00:00:00+00:00,4
2021-09-22 00:00:00+00:00,5
2021-12-14 00:00:00+00:00,6
2022-01-14 00:00:00+00:00,7
2022-09-30 00:00:00+00:00,8
2022-10-16 00:00:00+00:00,9
2023-07-16 00:00:00+00:00,10
2023-11-13 00:00:00+00:00,11
2023-11-30 00:00:00+00:00,12
2024-02-27 00:00:00+00:00,13
2024-03-16 00:00:00+00:00,14
2024-04-11 00:00:00+00:00,15
2024-11-19 00:00:00+00:00,16
2025-01-01 00:00:00+00:00,17
2025-02-08 00:00:00+00:00,18
2025-02-26 00:00:00+00:00,19
2025-03-04 00:00:00+00:00,20
2025-04-23 00:00:00+00:00,21
2025-07-15 00:00:00+00:00,22
2025-07-18 00:00:00+00:00,23
2025-08-12 00:00:00+00:00,24
2025-09-07 00:00:00+00:00,25
2025-10-24 00:00:00+00:00,26
