time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-07 00:00:00+00:00,,,46.0,5.0
2023-03-08 00:00:00+00:00,5.0,3.0,28.0,2.0
2023-03-09 00:00:00+00:00,,,10.0,4.0
2023-03-12 00:00:00+00:00,1.0,1.0,,
2023-03-13 00:00:00+00:00,1.0,1.0,9.0,2.0
2023-03-14 00:00:00+00:00,,,16.0,2.0
2023-03-15 00:00:00+00:00,12.0,4.0,80.0,4.0
2023-03-16 00:00:00+00:00,3.0,2.0,48.0,4.0
2023-03-17 00:00:00+00:00,1.0,1.0,36.0,4.0
2023-03-18 00:00:00+00:00,,,2.0,1.0
2023-03-20 00:00:00+00:00,2.0,1.0,26.0,3.0
