time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-06 00:00:00+00:00,69.0,5.0,,
2021-07-07 00:00:00+00:00,98.0,6.0,2.0,1.0
2021-07-08 00:00:00+00:00,56.0,6.0,,
2021-07-09 00:00:00+00:00,63.0,7.0,4.0,2.0
2021-07-10 00:00:00+00:00,,,2.0,2.0
2021-07-11 00:00:00+00:00,8.0,4.0,26.0,2.0
2021-07-12 00:00:00+00:00,32.0,8.0,27.0,2.0
2021-07-13 00:00:00+00:00,4.0,2.0,8.0,2.0
2021-07-14 00:00:00+00:00,63.0,4.0,4.0,2.0
2021-07-15 00:00:00+00:00,32.0,4.0,14.0,3.0
2021-07-16 00:00:00+00:00,18.0,4.0,,
