time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-06 00:00:00+00:00,,,15,5
2025-12-07 00:00:00+00:00,1.0,1.0,4,2
2025-12-08 00:00:00+00:00,4.0,1.0,10,8
2025-12-09 00:00:00+00:00,4.0,2.0,15,7
2025-12-10 00:00:00+00:00,2.0,2.0,12,6
2025-12-11 00:00:00+00:00,,,9,4
2025-12-12 00:00:00+00:00,1.0,1.0,10,5
2025-12-13 00:00:00+00:00,1.0,1.0,9,6
2025-12-14 00:00:00+00:00,3.0,2.0,8,3
2025-12-15 00:00:00+00:00,1.0,1.0,3,2
2025-12-16 00:00:00+00:00,5.0,4.0,13,8
2025-12-17 00:00:00+00:00,,,10,8
2025-12-18 00:00:00+00:00,2.0,1.0,12,7
2025-12-19 00:00:00+00:00,1.0,1.0,14,7
