time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-01 00:00:00+00:00,0,0,21,3
2023-03-02 00:00:00+00:00,2,1,2,2
2023-03-05 00:00:00+00:00,1,1,0,0
2023-03-07 00:00:00+00:00,0,0,1,1
2023-03-09 00:00:00+00:00,0,0,8,4
2023-03-10 00:00:00+00:00,0,0,1,1
2023-03-14 00:00:00+00:00,0,0,1,1
2023-03-15 00:00:00+00:00,0,0,1,1
2023-03-16 00:00:00+00:00,3,2,0,0
2023-03-21 00:00:00+00:00,0,0,1,1
2023-03-23 00:00:00+00:00,0,0,1,1
2023-03-27 00:00:00+00:00,1,1,0,0
2023-03-31 00:00:00+00:00,0,0,75,2
