time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-02 00:00:00+00:00,4,2,0,0
2023-03-03 00:00:00+00:00,0,0,1,1
2023-03-04 00:00:00+00:00,1,1,0,0
2023-03-06 00:00:00+00:00,1,1,0,0
2023-03-07 00:00:00+00:00,0,0,1,1
2023-03-08 00:00:00+00:00,1,1,0,0
2023-03-10 00:00:00+00:00,1,1,0,0
2023-03-11 00:00:00+00:00,1,1,0,0
2023-03-13 00:00:00+00:00,0,0,10,4
2023-03-14 00:00:00+00:00,1,1,8,3
2023-03-16 00:00:00+00:00,2,1,8,2
2023-03-18 00:00:00+00:00,2,2,0,0
2023-03-30 00:00:00+00:00,1,1,0,0
2023-04-04 00:00:00+00:00,0,0,1,1
2023-04-07 00:00:00+00:00,0,0,1,1
2023-04-09 00:00:00+00:00,1,1,0,0
2023-04-10 00:00:00+00:00,0,0,1,1
2023-04-11 00:00:00+00:00,0,0,1,1
2023-04-19 00:00:00+00:00,0,0,1,1
2023-04-24 00:00:00+00:00,1,1,0,0
2023-04-26 00:00:00+00:00,0,0,4,2
2023-05-07 00:00:00+00:00,1,1,0,0
2023-05-15 00:00:00+00:00,2,1,0,0
2023-05-18 00:00:00+00:00,0,0,1,1
2023-05-20 00:00:00+00:00,4,2,0,0
2023-05-21 00:00:00+00:00,2,1,0,0
2023-05-23 00:00:00+00:00,2,1,0,0
2023-05-28 00:00:00+00:00,2,2,0,0
2023-05-30 00:00:00+00:00,0,0,1,1
2023-05-31 00:00:00+00:00,1,1,0,0
2023-06-03 00:00:00+00:00,0,0,1,1
2023-06-06 00:00:00+00:00,2,1,1,1
2023-06-07 00:00:00+00:00,0,0,1,1
2023-06-09 00:00:00+00:00,0,0,6,1
2023-06-15 00:00:00+00:00,1,1,0,0
2023-06-22 00:00:00+00:00,4,2,22,1
2023-06-25 00:00:00+00:00,0,0,1,1
2023-06-29 00:00:00+00:00,2,2,1,1
2023-06-30 00:00:00+00:00,0,0,1,1
2023-07-01 00:00:00+00:00,1,1,0,0
2023-07-07 00:00:00+00:00,1,1,6,3
2023-07-10 00:00:00+00:00,1,1,0,0
2023-07-22 00:00:00+00:00,0,0,10,1
2023-07-27 00:00:00+00:00,0,0,1,1
2023-07-28 00:00:00+00:00,4,2,0,0
2023-07-29 00:00:00+00:00,0,0,3,2
2023-07-30 00:00:00+00:00,2,1,0,0
2023-07-31 00:00:00+00:00,0,0,3,2
