time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-08 00:00:00+00:00,1.0,1.0,6,5
2025-11-09 00:00:00+00:00,,,15,3
2025-11-10 00:00:00+00:00,,,23,7
2025-11-11 00:00:00+00:00,1.0,1.0,10,6
2025-11-12 00:00:00+00:00,4.0,3.0,20,7
2025-11-13 00:00:00+00:00,,,26,8
2025-11-14 00:00:00+00:00,1.0,1.0,99,8
2025-11-15 00:00:00+00:00,2.0,2.0,1,1
2025-11-16 00:00:00+00:00,,,4,4
2025-11-17 00:00:00+00:00,1.0,1.0,7,5
2025-11-18 00:00:00+00:00,2.0,2.0,7,7
2025-11-19 00:00:00+00:00,,,8,6
2025-11-20 00:00:00+00:00,,,18,8
2025-11-21 00:00:00+00:00,,,44,10
