url_path,views_total,views_unique
/idaholab/Location-Generalizer,38,11
/idaholab/Location-Generalizer/blob/main/locationGeneralizer.py,11,2
/idaholab/Location-Generalizer/blob/main/locationGeneralizer.yml,5,2
/idaholab/Location-Generalizer/pulls,5,1
/idaholab/Location-Generalizer/blob/main/NOTICE.txt,4,2
/idaholab/Location-Generalizer/blob/main/README.md,4,2
/idaholab/Location-Generalizer/blob/255315c11080677c767e2b39a2f2c33ee28ff65b/README.md,4,1
/idaholab/Location-Generalizer/blob/2c279f9dfa1f7148d363fbf955fae8cb8d135f6d/locationGeneralizer.py,4,1
/idaholab/Location-Generalizer/commits/main/locationGeneralizer.py,4,1
/idaholab/Location-Generalizer/edit/main/README.md,3,1
