time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-29 00:00:00+00:00,13,6,4.0,3.0
2025-05-30 00:00:00+00:00,70,21,8.0,4.0
2025-05-31 00:00:00+00:00,2,2,3.0,3.0
2025-06-02 00:00:00+00:00,18,6,14.0,2.0
2025-06-03 00:00:00+00:00,47,12,6.0,4.0
2025-06-04 00:00:00+00:00,54,13,29.0,6.0
2025-06-05 00:00:00+00:00,67,11,37.0,4.0
2025-06-06 00:00:00+00:00,28,8,17.0,3.0
2025-06-07 00:00:00+00:00,10,7,1.0,1.0
2025-06-08 00:00:00+00:00,1,1,,
2025-06-09 00:00:00+00:00,76,12,3.0,1.0
2025-06-10 00:00:00+00:00,81,24,20.0,3.0
2025-06-11 00:00:00+00:00,12,6,2.0,2.0
