url_path,views_total,views_unique
/idaholab/Malcolm,305,191
/idaholab/Malcolm/releases/tag/v25.05.0,104,65
/idaholab/Malcolm/releases,69,53
/idaholab/Malcolm/blob/main/docs/README.md,60,39
/idaholab/Malcolm/tree/main,40,13
/idaholab/Malcolm/tree/33df9210723608a28569b138e4745c773757c75b/logstash/pipelines,26,1
/idaholab/Malcolm/issues,25,13
/idaholab/Malcolm/tree/33df9210723608a28569b138e4745c773757c75b/logstash/pipelines/zeek,21,1
/idaholab/Malcolm/blob/main/docs/quickstart.md,18,13
/idaholab/Malcolm/tree/33df9210723608a28569b138e4745c773757c75b,17,13
