time_iso8601,forks_cumulative
2024-01-17 00:00:00+00:00,1
2024-02-26 00:00:00+00:00,2
2024-04-09 00:00:00+00:00,3
2024-04-15 00:00:00+00:00,4
2024-04-22 00:00:00+00:00,5
2024-07-17 00:00:00+00:00,6
2024-11-14 00:00:00+00:00,7
2024-12-05 00:00:00+00:00,8
2025-01-08 00:00:00+00:00,9
2025-02-24 00:00:00+00:00,10
2025-03-08 00:00:00+00:00,11
2025-03-18 00:00:00+00:00,12
2025-03-29 00:00:00+00:00,13
2025-08-25 00:00:00+00:00,15
2025-09-03 00:00:00+00:00,16
2025-10-13 00:00:00+00:00,17
2025-12-01 00:00:00+00:00,18
