time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-05 00:00:00+00:00,1,1,28.0,10.0
2025-05-06 00:00:00+00:00,123,13,79.0,15.0
2025-05-07 00:00:00+00:00,3,3,74.0,17.0
2025-05-08 00:00:00+00:00,166,19,26.0,9.0
2025-05-09 00:00:00+00:00,53,7,51.0,10.0
2025-05-10 00:00:00+00:00,232,21,43.0,6.0
2025-05-11 00:00:00+00:00,50,14,6.0,1.0
2025-05-12 00:00:00+00:00,77,11,14.0,9.0
2025-05-13 00:00:00+00:00,496,40,105.0,5.0
2025-05-14 00:00:00+00:00,158,65,19.0,9.0
2025-05-15 00:00:00+00:00,2,2,35.0,8.0
2025-05-16 00:00:00+00:00,4,3,51.0,11.0
2025-05-17 00:00:00+00:00,5,4,,
2025-05-18 00:00:00+00:00,3,3,20.0,9.0
