time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-26 00:00:00+00:00,1.0,1.0,,
2025-05-27 00:00:00+00:00,28.0,5.0,,
2025-05-28 00:00:00+00:00,53.0,5.0,19.0,4.0
2025-05-29 00:00:00+00:00,38.0,6.0,,
2025-05-30 00:00:00+00:00,1.0,1.0,,
2025-05-31 00:00:00+00:00,2.0,2.0,,
2025-06-02 00:00:00+00:00,24.0,6.0,,
2025-06-03 00:00:00+00:00,44.0,8.0,,
2025-06-04 00:00:00+00:00,101.0,5.0,1.0,1.0
2025-06-05 00:00:00+00:00,39.0,5.0,,
2025-06-06 00:00:00+00:00,2.0,1.0,,
2025-06-07 00:00:00+00:00,,,1.0,1.0
