time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-29 00:00:00+00:00,0,0,1,1
2021-07-15 00:00:00+00:00,1,1,0,0
2021-07-20 00:00:00+00:00,0,0,2,2
2021-08-01 00:00:00+00:00,0,0,2,2
2021-08-03 00:00:00+00:00,0,0,4,1
2021-08-05 00:00:00+00:00,0,0,1,1
2021-08-06 00:00:00+00:00,0,0,1,1
2021-08-07 00:00:00+00:00,1,1,0,0
2021-08-16 00:00:00+00:00,0,0,1,1
2021-08-17 00:00:00+00:00,0,0,2,1
2021-08-22 00:00:00+00:00,0,0,10,1
2021-08-23 00:00:00+00:00,0,0,1,1
2021-08-29 00:00:00+00:00,0,0,1,1
2021-09-27 00:00:00+00:00,0,0,1,1
2021-10-08 00:00:00+00:00,0,0,1,1
2021-10-21 00:00:00+00:00,4,1,0,0
2021-10-23 00:00:00+00:00,518,2,0,0
2021-10-24 00:00:00+00:00,555,4,0,0
2021-10-25 00:00:00+00:00,1322,7,0,0
2021-10-26 00:00:00+00:00,280,2,0,0
2021-11-08 00:00:00+00:00,2,2,1,1
2021-11-09 00:00:00+00:00,0,0,5,1
2021-11-17 00:00:00+00:00,0,0,4,1
2021-11-30 00:00:00+00:00,0,0,3,1
2021-12-01 00:00:00+00:00,0,0,4,1
2021-12-26 00:00:00+00:00,0,0,1,1
2022-01-05 00:00:00+00:00,0,0,1,1
2022-01-14 00:00:00+00:00,0,0,1,1
2022-01-18 00:00:00+00:00,2,1,1,1
2022-01-21 00:00:00+00:00,1,1,0,0
2022-01-23 00:00:00+00:00,1,1,0,0
