time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-29 00:00:00+00:00,2.0,1.0,2.0,2.0
2025-05-30 00:00:00+00:00,16.0,5.0,10.0,1.0
2025-05-31 00:00:00+00:00,2.0,2.0,,
2025-06-02 00:00:00+00:00,11.0,4.0,18.0,6.0
2025-06-03 00:00:00+00:00,36.0,11.0,24.0,3.0
2025-06-04 00:00:00+00:00,88.0,16.0,43.0,2.0
2025-06-05 00:00:00+00:00,64.0,11.0,97.0,3.0
2025-06-06 00:00:00+00:00,3.0,2.0,3.0,2.0
2025-06-07 00:00:00+00:00,3.0,3.0,1.0,1.0
2025-06-09 00:00:00+00:00,,,3.0,1.0
2025-06-10 00:00:00+00:00,,,2.0,2.0
2025-06-11 00:00:00+00:00,8.0,3.0,22.0,1.0
