time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-06 00:00:00+00:00,24,18,4,4
2021-10-07 00:00:00+00:00,29,18,7,2
2021-10-08 00:00:00+00:00,33,22,4,1
2021-10-09 00:00:00+00:00,10,8,22,1
2021-10-10 00:00:00+00:00,3,3,1,1
2021-10-11 00:00:00+00:00,25,16,6,2
2021-10-12 00:00:00+00:00,42,24,4,4
2021-10-13 00:00:00+00:00,42,22,3,1
2021-10-14 00:00:00+00:00,28,21,3,2
2021-10-15 00:00:00+00:00,39,22,5,2
2021-10-16 00:00:00+00:00,37,22,8,3
2021-10-18 00:00:00+00:00,22,16,4,3
2021-10-19 00:00:00+00:00,49,24,7,1
