time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-29 00:00:00+00:00,0,0,1,1
2024-11-30 00:00:00+00:00,0,0,20,2
2024-12-09 00:00:00+00:00,0,0,3,2
2024-12-11 00:00:00+00:00,0,0,4,1
2024-12-12 00:00:00+00:00,1,1,0,0
2024-12-13 00:00:00+00:00,0,0,1,1
2024-12-17 00:00:00+00:00,0,0,3,3
2024-12-21 00:00:00+00:00,0,0,1,1
2024-12-24 00:00:00+00:00,0,0,8,2
2024-12-30 00:00:00+00:00,1,1,0,0
2025-01-01 00:00:00+00:00,0,0,3,1
2025-01-02 00:00:00+00:00,1,1,4,1
2025-01-03 00:00:00+00:00,1,1,0,0
2025-01-04 00:00:00+00:00,0,0,1,1
2025-01-08 00:00:00+00:00,0,0,5,2
2025-01-09 00:00:00+00:00,1,1,2,2
2025-01-11 00:00:00+00:00,1,1,8,1
2025-01-12 00:00:00+00:00,1,1,3,1
2025-01-13 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,0,0,4,1
2025-01-16 00:00:00+00:00,0,0,10,2
2025-01-17 00:00:00+00:00,1,1,44,2
2025-01-19 00:00:00+00:00,0,0,5,1
2025-01-20 00:00:00+00:00,0,0,18,1
