time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-04 00:00:00+00:00,18,8,,
2023-04-05 00:00:00+00:00,23,4,5.0,1.0
2023-04-06 00:00:00+00:00,20,4,23.0,2.0
2023-04-07 00:00:00+00:00,1,1,1.0,1.0
2023-04-09 00:00:00+00:00,1,1,1.0,1.0
2023-04-10 00:00:00+00:00,23,4,24.0,2.0
2023-04-11 00:00:00+00:00,23,5,5.0,1.0
2023-04-12 00:00:00+00:00,24,5,11.0,2.0
2023-04-13 00:00:00+00:00,25,4,42.0,4.0
2023-04-14 00:00:00+00:00,23,5,8.0,2.0
2023-04-15 00:00:00+00:00,25,4,,
2023-04-16 00:00:00+00:00,4,2,,
2023-04-17 00:00:00+00:00,13,4,32.0,3.0
