time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-17 00:00:00+00:00,,,10,8
2022-05-18 00:00:00+00:00,,,2,2
2022-05-19 00:00:00+00:00,,,15,4
2022-05-20 00:00:00+00:00,3.0,2.0,23,3
2022-05-21 00:00:00+00:00,,,3,2
2022-05-22 00:00:00+00:00,,,1,1
2022-05-23 00:00:00+00:00,1.0,1.0,11,3
2022-05-24 00:00:00+00:00,,,4,1
2022-05-25 00:00:00+00:00,1.0,1.0,10,6
2022-05-26 00:00:00+00:00,4.0,1.0,6,4
2022-05-27 00:00:00+00:00,2.0,1.0,5,3
2022-05-28 00:00:00+00:00,1.0,1.0,6,2
2022-05-30 00:00:00+00:00,1.0,1.0,14,3
