time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-24 00:00:00+00:00,0,0,1,1
2021-06-25 00:00:00+00:00,0,0,1,1
2021-06-28 00:00:00+00:00,0,0,1,1
2021-06-29 00:00:00+00:00,0,0,9,1
2021-07-01 00:00:00+00:00,0,0,1,1
2021-07-05 00:00:00+00:00,0,0,1,1
2021-07-06 00:00:00+00:00,0,0,1,1
2021-07-07 00:00:00+00:00,0,0,1,1
2021-07-08 00:00:00+00:00,0,0,2,1
2021-07-09 00:00:00+00:00,0,0,1,1
2021-07-13 00:00:00+00:00,0,0,5,1
2021-07-16 00:00:00+00:00,1,1,0,0
2021-07-19 00:00:00+00:00,0,0,2,1
2021-07-20 00:00:00+00:00,0,0,5,2
2021-07-22 00:00:00+00:00,0,0,19,8
2021-07-27 00:00:00+00:00,0,0,4,1
2021-07-28 00:00:00+00:00,0,0,2,2
2021-07-29 00:00:00+00:00,1,1,0,0
2021-08-01 00:00:00+00:00,0,0,1,1
2021-08-02 00:00:00+00:00,0,0,3,3
2021-08-04 00:00:00+00:00,0,0,2,2
2021-08-05 00:00:00+00:00,0,0,5,2
2021-08-06 00:00:00+00:00,0,0,1,1
2021-08-09 00:00:00+00:00,1,1,3,1
2021-08-10 00:00:00+00:00,0,0,12,4
2021-08-14 00:00:00+00:00,0,0,4,1
2021-08-16 00:00:00+00:00,0,0,1,1
2021-08-17 00:00:00+00:00,0,0,3,3
2021-08-23 00:00:00+00:00,0,0,7,4
2021-08-24 00:00:00+00:00,1,1,0,0
2021-08-25 00:00:00+00:00,1,1,0,0
2021-08-26 00:00:00+00:00,0,0,1,1
2021-08-27 00:00:00+00:00,1,1,1,1
2021-08-30 00:00:00+00:00,0,0,1,1
2021-09-04 00:00:00+00:00,1,1,0,0
2021-09-05 00:00:00+00:00,1,1,0,0
2021-09-06 00:00:00+00:00,0,0,1,1
2021-09-07 00:00:00+00:00,0,0,2,1
2021-09-12 00:00:00+00:00,0,0,1,1
2021-09-14 00:00:00+00:00,0,0,4,2
2021-09-15 00:00:00+00:00,1,1,1,1
2021-09-18 00:00:00+00:00,1,1,0,0
2021-09-23 00:00:00+00:00,0,0,3,3
2021-09-24 00:00:00+00:00,0,0,2,2
2021-09-30 00:00:00+00:00,1,1,0,0
2021-10-08 00:00:00+00:00,1,1,0,0
2021-10-10 00:00:00+00:00,1,1,0,0
2021-10-11 00:00:00+00:00,0,0,2,2
2021-10-13 00:00:00+00:00,1,1,27,3
2021-10-14 00:00:00+00:00,0,0,1,1
2021-10-21 00:00:00+00:00,3,1,0,0
2021-10-22 00:00:00+00:00,0,0,7,1
2021-10-23 00:00:00+00:00,7,2,0,0
2021-10-24 00:00:00+00:00,5,2,0,0
2021-10-25 00:00:00+00:00,11,4,0,0
2021-10-27 00:00:00+00:00,0,0,2,2
