time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-03 00:00:00+00:00,37.0,4.0,,
2022-10-04 00:00:00+00:00,73.0,6.0,8.0,4.0
2022-10-05 00:00:00+00:00,72.0,5.0,,
2022-10-06 00:00:00+00:00,24.0,4.0,,
2022-10-08 00:00:00+00:00,2.0,2.0,1.0,1.0
2022-10-09 00:00:00+00:00,2.0,1.0,,
2022-10-10 00:00:00+00:00,26.0,5.0,17.0,3.0
2022-10-11 00:00:00+00:00,27.0,6.0,2.0,2.0
2022-10-12 00:00:00+00:00,32.0,4.0,,
2022-10-13 00:00:00+00:00,43.0,9.0,1.0,1.0
2022-10-14 00:00:00+00:00,10.0,4.0,7.0,1.0
2022-10-15 00:00:00+00:00,,,1.0,1.0
2022-10-16 00:00:00+00:00,,,1.0,1.0
