time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-20 00:00:00+00:00,1,1,14.0,5.0
2025-06-21 00:00:00+00:00,21,5,7.0,1.0
2025-06-22 00:00:00+00:00,18,6,40.0,2.0
2025-06-23 00:00:00+00:00,2,2,19.0,4.0
2025-06-24 00:00:00+00:00,49,14,26.0,8.0
2025-06-25 00:00:00+00:00,11,6,23.0,1.0
2025-06-26 00:00:00+00:00,23,9,22.0,5.0
2025-06-27 00:00:00+00:00,36,11,41.0,6.0
2025-06-28 00:00:00+00:00,67,22,53.0,4.0
2025-06-29 00:00:00+00:00,42,16,11.0,2.0
2025-06-30 00:00:00+00:00,42,14,19.0,5.0
2025-07-01 00:00:00+00:00,8,4,29.0,5.0
2025-07-02 00:00:00+00:00,59,20,48.0,6.0
2025-07-03 00:00:00+00:00,94,41,84.0,10.0
2025-07-04 00:00:00+00:00,17,5,,
