time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-29 00:00:00+00:00,0,0,1,1
2021-07-01 00:00:00+00:00,0,0,2,2
2021-07-03 00:00:00+00:00,1,1,0,0
2021-07-06 00:00:00+00:00,1,1,0,0
2021-07-07 00:00:00+00:00,0,0,2,1
2021-07-08 00:00:00+00:00,1,1,0,0
2021-07-09 00:00:00+00:00,0,0,1,1
2021-07-11 00:00:00+00:00,0,0,1,1
2021-07-12 00:00:00+00:00,0,0,11,2
2021-07-13 00:00:00+00:00,0,0,14,5
2021-07-14 00:00:00+00:00,0,0,10,4
2021-07-15 00:00:00+00:00,0,0,1,1
2021-07-20 00:00:00+00:00,1,1,0,0
2021-07-21 00:00:00+00:00,0,0,3,2
2021-07-22 00:00:00+00:00,0,0,4,2
2021-07-26 00:00:00+00:00,0,0,5,1
2021-07-27 00:00:00+00:00,0,0,1,1
2021-07-28 00:00:00+00:00,0,0,1,1
2021-07-29 00:00:00+00:00,0,0,3,2
2021-07-30 00:00:00+00:00,0,0,3,1
