time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-05 00:00:00+00:00,12,3,6.0,4.0
2024-02-06 00:00:00+00:00,15,1,10.0,3.0
2024-02-07 00:00:00+00:00,36,3,2.0,2.0
2024-02-08 00:00:00+00:00,38,4,17.0,7.0
2024-02-09 00:00:00+00:00,38,4,1.0,1.0
2024-02-10 00:00:00+00:00,31,4,,
2024-02-11 00:00:00+00:00,7,3,,
2024-02-12 00:00:00+00:00,10,2,4.0,2.0
2024-02-13 00:00:00+00:00,26,3,41.0,3.0
2024-02-14 00:00:00+00:00,25,3,30.0,4.0
2024-02-15 00:00:00+00:00,23,3,8.0,3.0
2024-02-16 00:00:00+00:00,6,2,,
2024-02-17 00:00:00+00:00,1,1,1.0,1.0
2024-02-18 00:00:00+00:00,4,3,,
