time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-02 00:00:00+00:00,13,12,2.0,2.0
2021-09-03 00:00:00+00:00,13,7,1.0,1.0
2021-09-04 00:00:00+00:00,1,1,2.0,1.0
2021-09-05 00:00:00+00:00,2,2,,
2021-09-06 00:00:00+00:00,5,5,,
2021-09-07 00:00:00+00:00,3,3,2.0,1.0
2021-09-08 00:00:00+00:00,15,10,2.0,2.0
2021-09-09 00:00:00+00:00,6,4,2.0,2.0
2021-09-10 00:00:00+00:00,2,1,3.0,2.0
2021-09-11 00:00:00+00:00,7,5,2.0,2.0
2021-09-12 00:00:00+00:00,1,1,,
2021-09-13 00:00:00+00:00,1,1,,
2021-09-14 00:00:00+00:00,17,5,9.0,1.0
2021-09-15 00:00:00+00:00,24,11,14.0,3.0
