time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-24 00:00:00+00:00,15,1,3,1
2021-06-25 00:00:00+00:00,45,9,12,2
2021-06-27 00:00:00+00:00,2,1,0,0
2021-06-28 00:00:00+00:00,36,8,17,5
2021-06-29 00:00:00+00:00,6,2,20,1
2021-06-30 00:00:00+00:00,5,1,12,3
2021-07-01 00:00:00+00:00,21,5,34,3
2021-07-02 00:00:00+00:00,1,1,0,0
2021-07-04 00:00:00+00:00,1,1,0,0
2021-07-06 00:00:00+00:00,15,11,23,2
2021-07-07 00:00:00+00:00,46,3,36,4
2021-07-08 00:00:00+00:00,46,6,49,2
2021-07-09 00:00:00+00:00,39,4,50,3
2021-07-12 00:00:00+00:00,21,4,21,3
