time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-18 00:00:00+00:00,1,1,,
2023-06-19 00:00:00+00:00,2,2,16.0,3.0
2023-06-20 00:00:00+00:00,5,3,25.0,5.0
2023-06-21 00:00:00+00:00,22,7,23.0,2.0
2023-06-22 00:00:00+00:00,14,6,13.0,3.0
2023-06-23 00:00:00+00:00,14,5,35.0,6.0
2023-06-24 00:00:00+00:00,14,5,1.0,1.0
2023-06-25 00:00:00+00:00,2,1,,
2023-06-26 00:00:00+00:00,8,4,7.0,4.0
2023-06-27 00:00:00+00:00,9,4,2.0,2.0
2023-06-28 00:00:00+00:00,2,1,6.0,5.0
2023-06-29 00:00:00+00:00,10,4,8.0,5.0
2023-06-30 00:00:00+00:00,3,2,,
