time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-01 00:00:00+00:00,1,1,0,0
2023-03-02 00:00:00+00:00,2,1,0,0
2023-03-06 00:00:00+00:00,0,0,1,1
2023-03-07 00:00:00+00:00,1,1,0,0
2023-03-08 00:00:00+00:00,1,1,0,0
2023-03-10 00:00:00+00:00,0,0,1,1
2023-03-11 00:00:00+00:00,1,1,0,0
2023-03-13 00:00:00+00:00,1,1,5,1
2023-03-14 00:00:00+00:00,3,3,1,1
2023-03-15 00:00:00+00:00,1,1,0,0
2023-03-18 00:00:00+00:00,3,1,0,0
2023-03-20 00:00:00+00:00,0,0,2,1
2023-03-24 00:00:00+00:00,4,1,0,0
2023-03-26 00:00:00+00:00,1,1,0,0
2023-03-27 00:00:00+00:00,1,1,0,0
2023-03-28 00:00:00+00:00,22,1,0,0
2023-03-29 00:00:00+00:00,15,1,1,1
2023-03-30 00:00:00+00:00,16,1,0,0
2023-03-31 00:00:00+00:00,13,2,2,1
2023-04-09 00:00:00+00:00,1,1,0,0
2023-04-15 00:00:00+00:00,0,0,2,1
2023-04-19 00:00:00+00:00,4,1,0,0
2023-05-01 00:00:00+00:00,0,0,6,1
2023-05-03 00:00:00+00:00,0,0,2,1
2023-05-06 00:00:00+00:00,1,1,0,0
2023-05-21 00:00:00+00:00,1,1,0,0
2023-06-06 00:00:00+00:00,0,0,1,1
2023-06-21 00:00:00+00:00,2,1,0,0
2023-06-29 00:00:00+00:00,1,1,1,1
2023-07-06 00:00:00+00:00,4,1,0,0
2023-07-07 00:00:00+00:00,3,1,0,0
2023-07-10 00:00:00+00:00,24,2,0,0
2023-07-11 00:00:00+00:00,7,1,0,0
2023-07-12 00:00:00+00:00,6,1,0,0
2023-07-13 00:00:00+00:00,18,1,0,0
2023-07-14 00:00:00+00:00,19,2,0,0
2023-07-19 00:00:00+00:00,10,1,0,0
2023-07-20 00:00:00+00:00,10,1,0,0
2023-07-21 00:00:00+00:00,10,2,0,0
2023-07-22 00:00:00+00:00,16,1,0,0
2023-07-23 00:00:00+00:00,9,2,0,0
2023-07-28 00:00:00+00:00,14,2,0,0
2023-07-29 00:00:00+00:00,25,2,0,0
2023-07-30 00:00:00+00:00,14,1,0,0
2023-08-01 00:00:00+00:00,29,1,0,0
2023-08-02 00:00:00+00:00,0,0,1,1
