time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-30 00:00:00+00:00,0,0,1,1
2021-07-01 00:00:00+00:00,0,0,14,1
2021-07-05 00:00:00+00:00,0,0,2,1
2021-07-08 00:00:00+00:00,0,0,1,1
2021-07-12 00:00:00+00:00,0,0,5,2
2021-07-15 00:00:00+00:00,0,0,1,1
2021-07-21 00:00:00+00:00,1,1,0,0
2021-07-22 00:00:00+00:00,0,0,1,1
2021-07-27 00:00:00+00:00,0,0,5,1
2021-07-28 00:00:00+00:00,0,0,1,1
2021-08-01 00:00:00+00:00,0,0,1,1
2021-08-03 00:00:00+00:00,0,0,1,1
2021-08-05 00:00:00+00:00,0,0,1,1
2021-08-06 00:00:00+00:00,0,0,1,1
2021-08-13 00:00:00+00:00,0,0,10,1
2021-08-16 00:00:00+00:00,0,0,11,1
2021-08-17 00:00:00+00:00,0,0,10,3
2021-08-18 00:00:00+00:00,0,0,23,1
2021-08-20 00:00:00+00:00,1,1,0,0
2021-08-29 00:00:00+00:00,0,0,1,1
2021-09-08 00:00:00+00:00,0,0,1,1
2021-09-09 00:00:00+00:00,1,1,6,1
2021-09-18 00:00:00+00:00,0,0,1,1
2021-09-21 00:00:00+00:00,0,0,1,1
2021-09-23 00:00:00+00:00,1,1,0,0
2021-09-28 00:00:00+00:00,1,1,0,0
2021-09-30 00:00:00+00:00,0,0,1,1
2021-10-01 00:00:00+00:00,0,0,1,1
2021-10-15 00:00:00+00:00,0,0,1,1
2021-10-18 00:00:00+00:00,0,0,2,1
2021-10-20 00:00:00+00:00,2,1,3,1
2021-10-22 00:00:00+00:00,13,2,0,0
2021-10-23 00:00:00+00:00,18,2,0,0
2021-10-24 00:00:00+00:00,7,2,0,0
2021-10-25 00:00:00+00:00,16,4,0,0
2021-10-28 00:00:00+00:00,0,0,3,1
2021-11-16 00:00:00+00:00,0,0,1,1
2021-11-22 00:00:00+00:00,0,0,2,1
2021-11-24 00:00:00+00:00,1,1,0,0
2021-12-01 00:00:00+00:00,0,0,5,2
2021-12-02 00:00:00+00:00,0,0,2,1
2021-12-06 00:00:00+00:00,0,0,11,1
2021-12-08 00:00:00+00:00,0,0,9,1
2021-12-11 00:00:00+00:00,0,0,2,1
2021-12-15 00:00:00+00:00,0,0,2,2
2021-12-19 00:00:00+00:00,0,0,1,1
2021-12-26 00:00:00+00:00,0,0,11,1
2021-12-30 00:00:00+00:00,1,1,0,0
2022-01-03 00:00:00+00:00,0,0,1,1
2022-01-07 00:00:00+00:00,1,1,0,0
2022-01-15 00:00:00+00:00,0,0,1,1
2022-01-19 00:00:00+00:00,2,1,0,0
2022-01-23 00:00:00+00:00,1,1,0,0
2022-01-27 00:00:00+00:00,1,1,0,0
2022-02-05 00:00:00+00:00,1,1,0,0
2022-02-09 00:00:00+00:00,0,0,1,1
2022-02-10 00:00:00+00:00,0,0,1,1
2022-02-14 00:00:00+00:00,1,1,0,0
2022-03-02 00:00:00+00:00,0,0,1,1
2022-03-04 00:00:00+00:00,0,0,1,1
2022-03-09 00:00:00+00:00,1,1,0,0
2022-03-20 00:00:00+00:00,2,1,0,0
2022-03-23 00:00:00+00:00,1,1,0,0
2022-03-25 00:00:00+00:00,2,1,0,0
2022-03-27 00:00:00+00:00,2,2,1,1
2022-03-31 00:00:00+00:00,2,1,0,0
2022-04-14 00:00:00+00:00,0,0,2,1
2022-04-16 00:00:00+00:00,2,1,0,0
2022-04-20 00:00:00+00:00,2,1,1,1
2022-04-21 00:00:00+00:00,2,1,0,0
2022-04-22 00:00:00+00:00,2,1,0,0
2022-04-23 00:00:00+00:00,2,1,2,2
2022-04-24 00:00:00+00:00,0,0,4,1
2022-04-26 00:00:00+00:00,4,2,0,0
2022-04-29 00:00:00+00:00,2,1,0,0
2022-05-01 00:00:00+00:00,2,1,0,0
2022-05-07 00:00:00+00:00,0,0,1,1
2022-05-12 00:00:00+00:00,0,0,1,1
2022-05-26 00:00:00+00:00,0,0,1,1
2022-05-27 00:00:00+00:00,0,0,1,1
2022-05-30 00:00:00+00:00,1,1,0,0
2022-06-01 00:00:00+00:00,0,0,5,1
2022-06-10 00:00:00+00:00,0,0,34,1
2022-06-15 00:00:00+00:00,1,1,1,1
2022-06-16 00:00:00+00:00,0,0,1,1
2022-06-30 00:00:00+00:00,0,0,1,1
