time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-25 00:00:00+00:00,24,11,,
2022-07-26 00:00:00+00:00,122,23,,
2022-07-27 00:00:00+00:00,151,23,,
2022-07-28 00:00:00+00:00,173,30,2.0,1.0
2022-07-29 00:00:00+00:00,92,23,,
2022-07-30 00:00:00+00:00,14,9,,
2022-07-31 00:00:00+00:00,14,9,,
2022-08-01 00:00:00+00:00,92,24,1.0,1.0
2022-08-02 00:00:00+00:00,170,22,,
2022-08-03 00:00:00+00:00,236,29,,
2022-08-04 00:00:00+00:00,117,24,,
2022-08-05 00:00:00+00:00,142,25,,
2022-08-06 00:00:00+00:00,56,15,,
2022-08-07 00:00:00+00:00,36,9,,
2022-08-08 00:00:00+00:00,3,1,,
