time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-03 00:00:00+00:00,0,0,32,2
2024-12-13 00:00:00+00:00,0,0,1,1
2024-12-26 00:00:00+00:00,0,0,1,1
2025-01-01 00:00:00+00:00,0,0,2,1
2025-01-06 00:00:00+00:00,0,0,18,1
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-20 00:00:00+00:00,0,0,1,1
2025-01-23 00:00:00+00:00,0,0,1,1
2025-01-24 00:00:00+00:00,0,0,3,1
2025-01-30 00:00:00+00:00,1,1,0,0
2025-01-31 00:00:00+00:00,1,1,0,0
2025-02-02 00:00:00+00:00,0,0,1,1
2025-02-05 00:00:00+00:00,3,3,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-13 00:00:00+00:00,1,1,0,0
2025-02-18 00:00:00+00:00,1,1,0,0
2025-02-20 00:00:00+00:00,2,1,1,1
2025-02-22 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,2,1,0,0
2025-03-04 00:00:00+00:00,1,1,0,0
2025-03-05 00:00:00+00:00,2,2,0,0
2025-03-06 00:00:00+00:00,3,3,0,0
2025-03-07 00:00:00+00:00,0,0,1,1
2025-03-12 00:00:00+00:00,0,0,1,1
2025-03-14 00:00:00+00:00,1,1,0,0
2025-03-17 00:00:00+00:00,0,0,1,1
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-22 00:00:00+00:00,1,1,0,0
2025-03-23 00:00:00+00:00,1,1,2,2
2025-03-27 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,0,0,4,1
2025-04-01 00:00:00+00:00,1,1,0,0
2025-04-03 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,1,1,0,0
2025-04-08 00:00:00+00:00,2,2,0,0
2025-04-14 00:00:00+00:00,1,1,0,0
2025-04-17 00:00:00+00:00,1,1,0,0
2025-04-20 00:00:00+00:00,1,1,0,0
2025-04-21 00:00:00+00:00,1,1,0,0
2025-04-24 00:00:00+00:00,0,0,1,1
2025-04-27 00:00:00+00:00,1,1,0,0
2025-04-30 00:00:00+00:00,0,0,2,2
2025-05-02 00:00:00+00:00,1,1,0,0
2025-05-05 00:00:00+00:00,0,0,1,1
2025-05-08 00:00:00+00:00,1,1,16,1
2025-05-09 00:00:00+00:00,2,1,0,0
2025-05-15 00:00:00+00:00,0,0,3,1
2025-05-18 00:00:00+00:00,1,1,0,0
2025-05-20 00:00:00+00:00,0,0,5,1
2025-05-26 00:00:00+00:00,2,2,2,1
2025-05-29 00:00:00+00:00,2,1,0,0
2025-06-04 00:00:00+00:00,1,1,10,1
2025-06-05 00:00:00+00:00,0,0,1,1
2025-06-12 00:00:00+00:00,0,0,1,1
2025-06-14 00:00:00+00:00,0,0,1,1
2025-06-17 00:00:00+00:00,1,1,0,0
2025-06-19 00:00:00+00:00,1,1,0,0
2025-06-26 00:00:00+00:00,2,1,0,0
2025-06-27 00:00:00+00:00,2,1,1,1
2025-06-28 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,5,4,2,1
2025-06-30 00:00:00+00:00,2,2,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,5,5,0,0
2025-07-04 00:00:00+00:00,1,1,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-10 00:00:00+00:00,5,3,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-13 00:00:00+00:00,1,1,0,0
2025-07-14 00:00:00+00:00,4,3,9,1
2025-07-15 00:00:00+00:00,2,2,0,0
2025-07-16 00:00:00+00:00,1,1,0,0
2025-07-17 00:00:00+00:00,1,1,0,0
2025-07-23 00:00:00+00:00,4,3,0,0
2025-07-28 00:00:00+00:00,0,0,6,1
2025-07-31 00:00:00+00:00,1,1,0,0
2025-08-01 00:00:00+00:00,1,1,0,0
2025-08-03 00:00:00+00:00,0,0,1,1
2025-08-04 00:00:00+00:00,0,0,1,1
2025-08-07 00:00:00+00:00,1,1,0,0
2025-08-16 00:00:00+00:00,1,1,0,0
2025-08-18 00:00:00+00:00,0,0,6,1
2025-08-20 00:00:00+00:00,0,0,1,1
2025-08-22 00:00:00+00:00,1,1,0,0
2025-08-23 00:00:00+00:00,1,1,0,0
2025-08-25 00:00:00+00:00,2,1,0,0
2025-08-28 00:00:00+00:00,1,1,0,0
2025-08-29 00:00:00+00:00,2,2,0,0
2025-08-31 00:00:00+00:00,1,1,0,0
2025-09-02 00:00:00+00:00,0,0,2,1
2025-09-03 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,0,0,1,1
2025-09-08 00:00:00+00:00,0,0,1,1
2025-09-09 00:00:00+00:00,0,0,1,1
2025-09-18 00:00:00+00:00,1,1,0,0
2025-09-23 00:00:00+00:00,1,1,0,0
2025-09-24 00:00:00+00:00,1,1,0,0
2025-10-02 00:00:00+00:00,3,2,0,0
2025-10-03 00:00:00+00:00,1,1,0,0
2025-10-06 00:00:00+00:00,1,1,0,0
2025-10-08 00:00:00+00:00,0,0,1,1
2025-10-09 00:00:00+00:00,1,1,0,0
