url_path,views_total,views_unique
/idaholab/magpie,20,10
/idaholab/magpie/tree/devel/examples,6,2
/idaholab/magpie/tree/devel/include,5,1
/idaholab/magpie/tree/devel/examples/deep_neural_network,4,1
/idaholab/magpie/tree/devel/include/userobjects,4,1
/idaholab/magpie/blob/devel/examples/deep_neural_network/dnn.i,2,1
/idaholab/magpie/blob/devel/examples/spectralDiffusionExplicit.i,2,1
/idaholab/magpie/blob/devel/src/kernels/RadialGreensSource.C,2,1
/idaholab/magpie/blob/devel/src/userobjects/RadialGreensConvolution.C,2,1
/idaholab/magpie/commits/devel,2,1
