time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-05 00:00:00+00:00,1.0,1.0,26,4
2023-06-06 00:00:00+00:00,8.0,4.0,173,18
2023-06-07 00:00:00+00:00,7.0,4.0,44,8
2023-06-08 00:00:00+00:00,7.0,4.0,27,4
2023-06-09 00:00:00+00:00,3.0,2.0,114,14
2023-06-10 00:00:00+00:00,4.0,2.0,96,22
2023-06-11 00:00:00+00:00,2.0,1.0,92,8
2023-06-12 00:00:00+00:00,1.0,1.0,52,10
2023-06-13 00:00:00+00:00,7.0,3.0,18,4
2023-06-14 00:00:00+00:00,2.0,1.0,111,8
2023-06-15 00:00:00+00:00,4.0,2.0,92,6
2023-06-16 00:00:00+00:00,,,35,7
2023-06-17 00:00:00+00:00,,,7,7
2023-06-18 00:00:00+00:00,,,5,2
