time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-24 00:00:00+00:00,20,2,,
2021-06-25 00:00:00+00:00,79,4,40.0,4.0
2021-06-26 00:00:00+00:00,27,5,30.0,6.0
2021-06-27 00:00:00+00:00,22,13,62.0,2.0
2021-06-28 00:00:00+00:00,44,20,78.0,8.0
2021-06-29 00:00:00+00:00,63,29,21.0,3.0
2021-06-30 00:00:00+00:00,63,24,26.0,3.0
2021-07-01 00:00:00+00:00,103,37,38.0,6.0
2021-07-02 00:00:00+00:00,44,13,17.0,3.0
2021-07-03 00:00:00+00:00,6,6,3.0,2.0
2021-07-05 00:00:00+00:00,8,7,7.0,2.0
2021-07-06 00:00:00+00:00,34,23,10.0,1.0
2021-07-07 00:00:00+00:00,41,23,1.0,1.0
2021-07-08 00:00:00+00:00,11,9,1.0,1.0
